raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,typo_candidate,suggested_correction
Glen Elgin,1995,,1995.0,False,46,9,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Elgin,Glen Elgin 12yo,80,No close match found,,
Glenesk,1982,,1982.0,False,40,15,False,Glenfarclas belongs to a private family owned company somewhat a rarity in the Speyside region these days. A complex malt that is crisp and dry with sweet sherry notes.’ MK,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenesk,Gölles,67,No close match found,,
Glen Forres,8yo,8.0,,False,40,6,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forres,Glen Els,74,No close match found,,
Glen Forsa,12yo,12.0,,False,43,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Forsa,Glen Els,67,No close match found,,
Glen Mhor,1980,,1980.0,False,43,12,False,,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,67,No close match found,,
Glen Mhor,25yo,25.0,,False,40,38,False,Glenmorangie  Quinta Ruban 12yo 46% 6. Glenmorangie 18yo 43% 12. Glenmorangie Astar 57.1% 10. Glenmorangie Lasanta 12yo 46% 6. Glen Moray no statement 40% Glen Moray 10yo 40% Glen Moray 12yo 40% Glen Moray 15yo 40% 11. Glen Ord 5yo 40% 17. Glen Ord 12yo 43% 8. Glen Ord 1998/10yo 57.9% 7. Glenrothes 8yo 40% Glenrothes Select Reserve no statement 43% 6. Glen Scotia (Campbeltown) 12yo 40% Glen Spey (CS) 1981/15yo 62.2% 15. Glen Spey 1985 43% 11. Glentauchers 1979 40% 10. Glentauchers 1991 43% 9. Glentrommie 12yo 40% 8.,8,The_Malt_List.pdf,historical_bar_menu,medium,Glen Mhor,Glen Moray 16yo,67,No close match found,,
Glentrommie,17yo,17.0,,False,40,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Glentrommie,Glenrothes 25yo,54,No close match found,,
Glenturret,1992/15yo,15.0,1992.0,False,43,9,False,,9,The_Malt_List.pdf,historical_bar_menu,medium,Glenturret,Glenturret 10yo,80,No close match found,,
Hakushu (Japan),12yo,12.0,,False,43.5,8,False,Hazelburn (Campbeltown) 8yo 46% 6. Highland Park (Orkney) 12yo 40% ‘Scotland’s most northerly distillery in Orkney. The 12 yo is a great introduction to malt whisky with a smooth and smoky sweetness to it.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hakushu (Japan),Hakushu NAS,75,No close match found,,
Hillside,1971/25yo,25.0,1971.0,False,60.1,60,True,The most expensive dram currently served in the Canny Man’s. The distillery located near Montrose was closed permenantly in 1985 making bottles of Hillside extremely rare.’ MK,9,The_Malt_List.pdf,historical_bar_menu,medium,Hillside,Willie's,62,No close match found,,
