whisky_id,issue,db_name,flavor_csv_name,bottle_name
1700,ID did not match but Name matched (Fallback avoided),Old Weller Antique 107,old weller antique 107,Old Weller Antique 107
1706,ID did not match but Name matched (Fallback avoided),Colonel E.H. Taylor Small Batch (BiB),colonel e.h. taylor small batch (bib),Colonel E.H. Taylor Small Batch
1713,ID did not match but Name matched (Fallback avoided),Woodford Reserve Double Oaked,woodford reserve double oaked,Woodford Reserve Double Oaked
1724,ID did not match but Name matched (Fallback avoided),Jim Beam Single Barrel,jim beam single barrel,Jim Beam Single Barrel
1747,ID did not match but Name matched (Fallback avoided),Jim Beam Bonded,jim beam bonded,Jim Beam Bonded
1770,ID did not match but Name matched (Fallback avoided),W.L. Weller Special Reserve,w.l. weller special reserve,W.L. Weller Special Reserve
1774,ID did not match but Name matched (Fallback avoided),Woodford Reserve Distiller's Select,woodford reserve distiller's select,Woodford Reserve Distiller's Select
1776,ID did not match but Name matched (Fallback avoided),Wild Turkey Forgiven,wild turkey forgiven,Wild Turkey Forgiven
1778,ID did not match but Name matched (Fallback avoided),Larceny Small Batch Bourbon,larceny small batch bourbon,Larceny Small Batch Bourbon
1785,ID did not match but Name matched (Fallback avoided),Balcones Baby Blue,balcones baby blue,Balcones Baby Blue
1798,ID did not match but Name matched (Fallback avoided),Four Roses (Yellow Label),four roses (yellow label),Four Roses Yellow Label
1807,ID did not match but Name matched (Fallback avoided),Evan Williams (Black Label),evan williams (black label),Evan Williams Black Label
1808,ID did not match but Name matched (Fallback avoided),Jim Beam Devil's Cut,jim beam devil's cut,Jim Beam Devil's Cut
1813,ID did not match but Name matched (Fallback avoided),Jack Daniel's Gentleman Jack,jack daniel's gentleman jack,Gentleman Jack
1824,ID did not match but Name matched (Fallback avoided),Jim Beam White Label,jim beam white label,Jim Beam White Label
