whisky_id,old_whisky_id,whisky_name,production_bottle_name,mapped_name,mapping_score,mapping_method,flavor_profile,flavor_vector,flavor_tags,flavor_source,flavor_match_score,flavor_data_confidence,notes_for_review
WDB-00460,W000460,kavalan solist ex-bourbon,Kavalan Solist Ex-Bourbon,Kavalan Solist Ex-Bourbon,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 10.0}","{""fruity"": 2.0, ""complex"": 2.0, ""dry"": 1.0, ""light"": 2.0, ""lingering"": 2.0, ""vanilla"": 3.0, ""wood"": 1.0, ""sherry"": 1.0, ""amber"": 2.0, ""caramel"": 3.0}","[""vanilla"", ""caramel"", ""fruity"", ""complex"", ""light""]",production_data.csv,100,high,MAPPED
WDB-00056,W000056,kavalan solist vinho barrique,Kavalan Solist Vinho Barrique,Kavalan Solist Vinho Barrique,100,exact,"{""fruity"": 3.0, ""sweet"": 23.0, ""spicy"": 7.0, ""smoky_peaty"": 0.0, ""oak_cask"": 8.0, ""floral_herbal"": 6.0, ""malty_cereal"": 10.0}","{""orange"": 2.0, ""raisins"": 1.0, ""dry"": 2.0, ""heavy"": 2.0, ""chocolate"": 10.0, ""cinnamon"": 1.0, ""tea"": 2.0, ""coffee"": 2.0, ""floral"": 4.0, ""licorice"": 2.0, ""peppery"": 2.0, ""vanilla"": 6.0, ""nutty"": 2.0, ""oak"": 4.0, ""rich"": 6.0, ""spicy"": 2.0, ""sweet"": 2.0, ""caramel"": 5.0}","[""chocolate"", ""vanilla"", ""rich"", ""caramel"", ""floral""]",production_data.csv,100,high,MAPPED
WDB-01191,W001191,kilchoman 100% islay (all editions),Kilchoman 100% Islay 3rd Edition,Kilchoman 100% Islay (all editions),100,exact,"{""fruity"": 4.0, ""sweet"": 2.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 2.0, ""malty_cereal"": 1.0}","{""cherry"": 1.0, ""lemon"": 2.0, ""zest"": 1.0, ""mild"": 1.0, ""cinnamon"": 2.0, ""floral"": 2.0, ""vanilla"": 1.0, ""nutty"": 1.0, ""caramel"": 1.0}","[""lemon"", ""cinnamon"", ""floral"", ""cherry"", ""zest""]",production_data.csv,100,high,MAPPED
WDB-00137,W000137,kilchoman loch gorm,Kilchoman Loch Gorm,Kilchoman Loch Gorm,100,exact,"{""fruity"": 7.0, ""sweet"": 8.0, ""spicy"": 4.0, ""smoky_peaty"": 3.0, ""oak_cask"": 7.0, ""floral_herbal"": 0.0, ""malty_cereal"": 15.0}","{""apple"": 1.0, ""citrus"": 2.0, ""lemon"": 2.0, ""raisins"": 1.0, ""zest"": 1.0, ""earthy"": 2.0, ""heavy"": 2.0, ""light"": 2.0, ""old"": 1.0, ""candy"": 2.0, ""cinnamon"": 1.0, ""toffee"": 1.0, ""nutmeg"": 1.0, ""peaty"": 3.0, ""vanilla"": 3.0, ""sherry"": 4.0, ""oak"": 5.0, ""rich"": 2.0, ""salty"": 4.0, ""spicy"": 2.0, ""caramel"": 2.0}","[""oak"", ""sherry"", ""salty"", ""peaty"", ""vanilla""]",production_data.csv,100,high,MAPPED
WDB-01181,W001181,kilchoman machir bay (all vintages),Kilchoman Machir Bay,Kilchoman Machir Bay (all vintages),100,exact,"{""fruity"": 2.0, ""sweet"": 1.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 4.0, ""malty_cereal"": 4.0}","{""banana"": 1.0, ""lemon"": 1.0, ""chocolate"": 1.0, ""sherry"": 2.0, ""bitter"": 2.0, ""ginger"": 1.0, ""herbal"": 4.0}","[""herbal"", ""sherry"", ""bitter"", ""banana"", ""lemon""]",production_data.csv,100,high,MAPPED
WDB-00087,W000087,kilchoman port cask matured,Kilchoman Port Cask Matured,Kilchoman Port Cask Matured,100,exact,"{""fruity"": 0.0, ""sweet"": 4.0, ""spicy"": 3.0, ""smoky_peaty"": 0.0, ""oak_cask"": 0.0, ""floral_herbal"": 0.0, ""malty_cereal"": 2.0}","{""balanced"": 1.0, ""cinnamon"": 1.0, ""licorice"": 2.0, ""sour"": 1.0, ""sweet"": 4.0}","[""sweet"", ""licorice"", ""balanced"", ""cinnamon"", ""sour""]",production_data.csv,100,high,MAPPED
WDB-01166,W001166,laphroaig an cuan mor,Laphroaig An Cuan Mor,Laphroaig An Cuan Mor,100,exact,"{""fruity"": 2.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 2.0, ""oak_cask"": 4.0, ""floral_herbal"": 0.0, ""malty_cereal"": 6.0}","{""fruity"": 2.0, ""earthy"": 3.0, ""heavy"": 2.0, ""smooth"": 2.0, ""peaty"": 2.0, ""sugar"": 2.0, ""oak"": 1.0, ""salty"": 1.0, ""sweet"": 2.0, ""amber"": 1.0, ""caramel"": 2.0}","[""earthy"", ""fruity"", ""heavy"", ""smooth"", ""peaty""]",production_data.csv,100,high,MAPPED
WDB-01138,W001138,laphroaig quarter cask,Laphroaig Quarter Cask,Laphroaig Quarter Cask,100,exact,"{""fruity"": 1.0, ""sweet"": 6.0, ""spicy"": 0.0, ""smoky_peaty"": 0.0, ""oak_cask"": 1.0, ""floral_herbal"": 0.0, ""malty_cereal"": 5.0}","{""banana"": 1.0, ""complex"": 2.0, ""light"": 2.0, ""butterscotch"": 2.0, ""toffee"": 3.0, ""vanilla"": 1.0, ""oak"": 1.0, ""amber"": 1.0}","[""toffee"", ""complex"", ""light"", ""butterscotch"", ""banana""]",production_data.csv,100,high,MAPPED
WDB-01210,W001210,laphroaig triple wood,Laphroaig Triplewood,Laphroaig Triple Wood,100,exact,"{""fruity"": 2.0, ""sweet"": 14.0, ""spicy"": 1.0, ""smoky_peaty"": 0.0, ""oak_cask"": 8.0, ""floral_herbal"": 0.0, ""malty_cereal"": 25.0}","{""cherry"": 2.0, ""balanced"": 2.0, ""heavy"": 2.0, ""light"": 2.0, ""lingering"": 1.0, ""smooth"": 6.0, ""chocolate"": 1.0, ""cinnamon"": 1.0, ""cocoa"": 2.0, ""honey"": 2.0, ""malty"": 4.0, ""tobacco"": 1.0, ""vanilla"": 2.0, ""wood"": 4.0, ""sherry"": 4.0, ""brine"": 1.0, ""creamy"": 3.0, ""oak"": 3.0, ""sweet"": 5.0, ""caramel"": 2.0}","[""smooth"", ""sweet"", ""malty"", ""wood"", ""sherry""]",production_data.csv,98,high,MAPPED
WDB-01779,W001779,larceny small batch bourbon,Larceny Small Batch Bourbon,Larceny Small Batch Bourbon,100,exact,"{""fruity"": 2.0, ""sweet"": 7.0, ""spicy"": 2.0, ""smoky_peaty"": 0.0, ""oak_cask"": 2.0, ""floral_herbal"": 0.0, ""malty_cereal"": 6.0}","{""cherry"": 1.0, ""citrus"": 1.0, ""smooth"": 2.0, ""cinnamon"": 2.0, ""toffee"": 3.0, ""malty"": 2.0, ""vanilla"": 2.0, ""oak"": 2.0, ""rich"": 2.0, ""caramel"": 2.0}","[""toffee"", ""smooth"", ""cinnamon"", ""malty"", ""vanilla""]",production_data.csv,100,high,MAPPED
