whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,extraction_status,match_score,mismatch_flags,nose_notes,palate_notes,finish_notes,aroma_tags,extracted_profile_vector,recommended_action,production_ready
W000504,shelter point french oak double barreled,https://www.whiskynotes.be/search/shelter-point-french-oak-double-barreled-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000504_161.html,,,extracted,90,,,,,,,manual_review,false
W000704,compass box double single (all editions),https://www.whiskynotes.be/search/compass-box-double-single-(all-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000704_162.html,,,extracted,90,,,,,,,manual_review,false
W000939,compass box flaming heart (all editions),https://www.whiskynotes.be/search/compass-box-flaming-heart-(all-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000939_163.html,,,extracted,90,,,,,,,manual_review,false
W001404,high west rendezvous rye (all bottlings),https://www.whiskynotes.be/search/high-west-rendezvous-rye-(all-bottlings)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001404_164.html,,,extracted,90,,,,,,,manual_review,false
W001530,forty creek three grain 20th anniversary,https://www.whiskynotes.be/search/forty-creek-three-grain-20th-anniversary-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001530_165.html,,,extracted,90,,,,,,,manual_review,false
W001627,willett family estate bourbon (all ages),https://www.whiskynotes.be/search/willett-family-estate-bourbon-(all-ages)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001627_166.html,,,extracted,90,,,,,,,manual_review,false
W000074,benromach 10yo cask strength (100 proof),https://www.whiskynotes.be/search/benromach-10yo-cask-strength-(100-proof)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000074_167.html,,,extracted,95,,,,,,,manual_review,false
W000435,glenlivet nadurra first fill (white oak),https://www.whiskynotes.be/search/glenlivet-nadurra-first-fill-(white-oak)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000435_168.html,,,extracted,90,,,,,,,manual_review,false
W000540,bruichladdich the organic (all editions),https://www.whiskynotes.be/search/bruichladdich-the-organic-(all-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000540_170.html,,,extracted,90,,,,,,,manual_review,false
W000725,two brewers cask strength (all releases),https://www.whiskynotes.be/search/two-brewers-cask-strength-(all-releases)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000725_171.html,,,extracted,90,,,,,,,manual_review,false
W001032,dun bheagan islay (all vintage editions),https://www.whiskynotes.be/search/dun-bheagan-islay-(all-vintage-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001032_173.html,,,extracted,90,,,,,,,manual_review,false
W001306,the irishman original clan irish whiskey,https://www.whiskynotes.be/search/the-irishman-original-clan-irish-whiskey-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001306_174.html,,,extracted,90,,,,,,,manual_review,false
W001554,canadian club classic 12yo (small batch),https://www.whiskynotes.be/search/canadian-club-classic-12yo-(small-batch)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001554_175.html,,,extracted,95,,,,,,,manual_review,false
W001706,blanton's gold kentucky straight bourbon,https://www.whiskynotes.be/search/blanton's-gold-kentucky-straight-bourbon-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001706_178.html,,,extracted,90,,,,,,,manual_review,false
W001770,old fitzgerald kentucky straight bourbon,https://www.whiskynotes.be/search/old-fitzgerald-kentucky-straight-bourbon-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001770_179.html,,,extracted,90,,,,,,,manual_review,false
W001815,smooth ambler old scout yearling bourbon,https://www.whiskynotes.be/search/smooth-ambler-old-scout-yearling-bourbon-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001815_180.html,,,extracted,90,,,,,,,manual_review,false
W000085,amrut px sherry single cask 2696 (lcbo),https://www.whiskynotes.be/search/amrut-px-sherry-single-cask-2696-(lcbo)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000085_181.html,,,extracted,100,,,,,,,manual_review,false
W000162,amrut px sherry single cask (all casks),https://www.whiskynotes.be/search/amrut-px-sherry-single-cask-(all-casks)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000162_182.html,,,extracted,100,,,,,,,manual_review,false
W000219,bowmore 10yo devil's cask (all batches),https://www.whiskynotes.be/search/bowmore-10yo-devil's-cask-(all-batches)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000219_183.html,,,extracted,105,,,,,,,manual_review,false
W000722,glenmorangie spios private edition no 9,https://www.whiskynotes.be/search/glenmorangie-spios-private-edition-no-9-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000722_184.html,,,extracted,100,,,,,,,manual_review,false
W000768,ichiro's malt chichibu the floor malted,https://www.whiskynotes.be/search/ichiro's-malt-chichibu-the-floor-malted-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000768_185.html,,,extracted,90,,,,,,,manual_review,false
W000971,spirit of hven seven stars no. 5 alioth,https://www.whiskynotes.be/search/spirit-of-hven-seven-stars-no.-5-alioth-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000971_186.html,,,extracted,90,,,,,,,manual_review,false
W001055,spirit of hven seven stars no. 3 phecda,https://www.whiskynotes.be/search/spirit-of-hven-seven-stars-no.-3-phecda-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001055_187.html,,,extracted,90,,,,,,,manual_review,false
W001190,compass box peat monster (all editions),https://www.whiskynotes.be/search/compass-box-peat-monster-(all-editions)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001190_188.html,,,extracted,90,,,,,,,manual_review,false
W001424,forty creek port wood reserve 2011/2012,https://www.whiskynotes.be/search/forty-creek-port-wood-reserve-2011/2012-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W001424_190.html,,,extracted,90,,,,,,,manual_review,false
W000082,bladnoch 12yo sherry cask (sheep label),https://www.whiskynotes.be/search/bladnoch-12yo-sherry-cask-(sheep-label)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000082_191.html,,,extracted,95,,,,,,,manual_review,false
W000133,glen garioch 17yo renaissance chapter 3,https://www.whiskynotes.be/search/glen-garioch-17yo-renaissance-chapter-3-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000133_192.html,,,extracted,95,,,,,,,manual_review,false
W000135,glendronach cask strength (all batches),https://www.whiskynotes.be/search/glendronach-cask-strength-(all-batches)-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000135_193.html,,,extracted,90,,,,,,,manual_review,false
W000186,glen garioch 15yo renaissance chapter 1,https://www.whiskynotes.be/search/glen-garioch-15yo-renaissance-chapter-1-tasting-notes-review,whiskynotes.be,review_site,C:\Users\eltun\Documents\malt radar\data\output\tasting_note_snapshots\W000186_196.html,,,extracted,95,,,,,,,manual_review,false
