whisky_id,whisky_name,source_url,source_domain,source_type,snapshot_path,http_status,fetch_status,match_score,mismatch_flags,reject_reason
W001447,gooderham & worts 17yo little trinity three grain (2017),https://www.whiskynotes.be/tasting-notes/gooderham-&-worts-17yo-little-trinity-three-grain-(2017)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001173,bruichladdich port charlotte islay barley heavily peated,https://www.whiskynotes.be/tasting-notes/bruichladdich-port-charlotte-islay-barley-heavily-peated-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000491,glenfiddich winter storm 21yo experimental series no. 3,https://www.whiskynotes.be/tasting-notes/glenfiddich-winter-storm-21yo-experimental-series-no.-3-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000674,game of thrones house tully singleton glendullan select,https://www.whiskynotes.be/tasting-notes/game-of-thrones-house-tully-singleton-glendullan-select-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001418,pike creek 21yo finished in oloroso sherry casks (2019),https://www.whiskynotes.be/tasting-notes/pike-creek-21yo-finished-in-oloroso-sherry-casks-(2019)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001560,last mountain distillery single cask 100% wheat whisky,https://www.whiskynotes.be/tasting-notes/last-mountain-distillery-single-cask-100%-wheat-whisky-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000374,game of thrones house baratheon royal lochnagar 12 ans,https://www.whiskynotes.be/tasting-notes/game-of-thrones-house-baratheon-royal-lochnagar-12-ans-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001416,alberta premium cask strength rye (batch 1 65.1% 2019),https://www.whiskynotes.be/tasting-notes/alberta-premium-cask-strength-rye-(batch-1-65.1%-2019)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001474,pike creek 21yo double barrel european oak cask (2018),https://www.whiskynotes.be/tasting-notes/pike-creek-21yo-double-barrel-european-oak-cask-(2018)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001510,parker’s heritage 13th 2019 8yo heavy char barrels rye,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-13th-2019-8yo-heavy-char-barrels-rye-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001719,jefferson's reserve very old kentucky straight bourbon,https://www.whiskynotes.be/tasting-notes/jefferson's-reserve-very-old-kentucky-straight-bourbon-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000593,glenfiddich ipa cask finish experimental series no. 1,https://www.whiskynotes.be/tasting-notes/glenfiddich-ipa-cask-finish-experimental-series-no.-1-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000990,game of thrones house greyjoy talisker select reserve,https://www.whiskynotes.be/tasting-notes/game-of-thrones-house-greyjoy-talisker-select-reserve-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001791,jim beam distillers masterpiece px sherry cask finish,https://www.whiskynotes.be/tasting-notes/jim-beam-distillers-masterpiece-px-sherry-cask-finish-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000788,game of thrones house stark dalwhinnie winter’s frost,https://www.whiskynotes.be/tasting-notes/game-of-thrones-house-stark-dalwhinnie-winter’s-frost-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001498,crown royal noble collection french oak cask finished,https://www.whiskynotes.be/tasting-notes/crown-royal-noble-collection-french-oak-cask-finished-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001753,parker’s heritage 10th 24yo kentucky straight bourbon,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-10th-24yo-kentucky-straight-bourbon-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001787,blanton's special reserve single barrel (green label),https://www.whiskynotes.be/tasting-notes/blanton's-special-reserve-single-barrel-(green-label)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001403,alberta premium cask strength rye (batch 2 66% 2020),https://www.whiskynotes.be/tasting-notes/alberta-premium-cask-strength-rye-(batch-2-66%-2020)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001615,parker’s heritage 4th 10yo wheated mash bill bourbon,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-4th-10yo-wheated-mash-bill-bourbon-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W000067,glendronach vintage 20yo single cask (all vintages),https://www.whiskynotes.be/tasting-notes/glendronach-vintage-20yo-single-cask-(all-vintages)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000083,glendronach vintage 19yo single cask (all vintages),https://www.whiskynotes.be/tasting-notes/glendronach-vintage-19yo-single-cask-(all-vintages)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000876,game of thrones house targaryen cardhu gold reserve,https://www.whiskynotes.be/tasting-notes/game-of-thrones-house-targaryen-cardhu-gold-reserve-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001603,parker’s heritage 2nd 27yo kentucky straight boubon,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-2nd-27yo-kentucky-straight-boubon-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001620,parker’s heritage 14th 2020 10yo heavy char bourbon,https://www.whiskynotes.be/tasting-notes/parker’s-heritage-14th-2020-10yo-heavy-char-bourbon-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W000073,benriach 17yo solstice peated port (both editions),https://www.whiskynotes.be/tasting-notes/benriach-17yo-solstice-peated-port-(both-editions)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W000970,bruichladdich port charlotte pc10 (second edition),https://www.whiskynotes.be/tasting-notes/bruichladdich-port-charlotte-pc10-(second-edition)-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001033,game of thrones the night’s watch oban bay reserve,https://www.whiskynotes.be/tasting-notes/game-of-thrones-the-night’s-watch-oban-bay-reserve-tasting-notes-review,www.whiskynotes.be,review_page,,403,http_error,,,HTTP 403
W001060,glenfiddich fire & cane experimental series no. 4,https://www.whiskynotes.be/tasting-notes/glenfiddich-fire-&-cane-experimental-series-no.-4-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
W001128,laphroaig cairdeas 2019 triple wood cask strength,https://www.whiskynotes.be/tasting-notes/laphroaig-cairdeas-2019-triple-wood-cask-strength-tasting-notes-review,www.whiskynotes.be,review_page,,404,http_error,,,HTTP 404
