smws_code,whisky_id,name
4.120,aaa43573-8c35-57b3-afd2-0c7a26683263,SMWS 4.120 - Sunshine in a Bottle
4.135,e074f3a3-e799-5203-8cec-b965bf913e62,SMWS 4.135 - SMWS 4.135
4.137,80bacdff-f9e4-5dca-b90b-8c7670b35587,SMWS 4.137 - Oooh!
4.138,52a9c5a9-a1f9-5b8c-975b-4d04ccb82290,"SMWS 4.138 - a
  vanilla patisserie"
4.145,9179c557-8797-5aec-b6d4-15e15e75ef29,SMWS 4.145 - SMWS 4.145
4.146,d4635d93-bd03-544e-8c28-c6a590c863b4,SMWS 4.146 - SMWS 4.146
4.148,325e83db-d4dc-552e-8493-7ffbeeb467b3,"SMWS 4.148 - chip shop brown
sauce"
4.151,1f9e358e-e702-5cdb-83fd-1f502379b020,SMWS 4.151 - SMWS 4.151
4.153,1dc7c9b6-7d88-53d4-995d-578b398fca2e,SMWS 4.153 - SMWS 4.153
4.156,4f363859-6736-5a47-a78b-caac43bd7035,SMWS 4.156 - SMWS 4.156
4.160,507f6bdb-bf78-5c19-a6e0-8e622b2c2d84,SMWS 4.160 - SMWS 4.160
4.162,f865b05e-a649-5ff1-881a-50c2031c7d80,SMWS 4.162 - SMWS 4.162
4.163,fbcd8b02-6ff3-56a1-be42-a40619a610d7,SMWS 4.163 - SMWS 4.163
4.164,ab161ef7-6f6b-5d3f-9a75-e79e5499d601,SMWS 4.164 - SMWS 4.164
4.169,99abf37a-b1ed-5d55-8566-1a41089efd55,SMWS 4.169 - SMWS 4.169
4.171,47003c2d-9022-52e2-9a2a-900c3621db60,SMWS 4.171 - SMWS 4.171
4.172,61607d8a-3b83-568b-9104-f97ed19300d0,SMWS 4.172 - SMWS 4.172
4.175,d0392b30-9774-550c-bad5-3f6747f85d1f,SMWS 4.175 - SMWS 4.175
4.178,01813d48-182c-5cec-8f43-ea9c0ee144d2,SMWS 4.178 - SMWS 4.178
4.183,56b0ecd5-b248-5c08-8b28-1e604adedd99,SMWS 4.183 - SMWS 4.183
4.188,539c547d-92cd-5ec2-8edf-49b2dd3f1d91,SMWS 4.188 - SMWS 4.188
4.190,605431d1-f644-5dcc-a88f-17f23ac53b0b,SMWS 4.190 - SMWS 4.190
4.191,0632580d-de61-55e7-8409-0b5599cd561e,SMWS 4.191 - SMWS 4.191
4.197,18f2a337-d292-520a-914c-6eaa255f71c9,SMWS 4.197 - SMWS 4.197
4.203,52ffae21-8045-5292-8d7a-c742b0b72196,SMWS 4.203 - SMWS 4.203
4.207,77954d9a-d5cc-57c0-aa4b-e7a982e80b3f,SMWS 4.207 - SMWS 4.207
4.211,c4765adf-d4d7-533f-a257-85d99269bf8b,SMWS 4.211 - SMWS 4.211
4.216,4db5a47f-a3fa-559f-896f-25c1902824b7,SMWS 4.216 - SMWS 4.216
4.217,1fba5a7a-64ea-5518-bc5d-f16029813fdb,SMWS 4.217 - SMWS 4.217
4.218,463e6420-c042-5467-8a93-9d86c0640425,SMWS 4.218 - SMWS 4.218
4.96,9fdd5383-121f-5566-973a-36d04d95a068,"SMWS 4.96 - Toffee, Fudge and a Touch of Smoke"
005.12,e9b197c5-6031-5f77-b1d8-2600e939e8c9,SMWS 005.12 - Hot and Honeyed
005.16,4c685257-4bde-5774-9f50-5f092bf11000,SMWS 005.16 - Chocolates and a Bunch of Flowers
5.28,1d39566b-4dfb-5b09-b1de-58725679f648,SMWS 5.28 - SMWS 5.28
5.33,2ee98027-889e-5d6f-bf3f-8963e0093546,SMWS 5.33 - SMWS 5.33
5.35,9d360b99-ea16-5ce8-b2bc-23afa6f5fae2,SMWS 5.35 - SMWS 5.35
5.36,9cff7a12-1565-5738-bc82-65b68a36d95a,SMWS 5.36 - SMWS 5.36
5.38,72edfaa3-ffdc-5814-ab91-5470d61a38aa,SMWS 5.38 - SMWS 5.38
5.40,460c18d5-bf31-5734-b56d-298b407cc7da,SMWS 5.40 - SMWS 5.40
5.47,def19358-bdfa-5209-a6bb-86299e561d10,SMWS 5.47 - SMWS 5.47
5.48,881baad2-7b08-54a4-ac2f-67d0c35f93af,SMWS 5.48 - SMWS 5.48
5.49,fd9965cc-f6be-5065-aa7e-710399f0afee,SMWS 5.49 - SMWS 5.49
005.7,01d92b9a-a1a6-5f29-a10b-0011a4f51117,SMWS 005.7 - Eve`s Pudding with Cr�me Patisserie
6.23,b94ec1af-e421-5f11-ab3f-0d6bdc9cfa42,SMWS 6.23 - old man
7.100,a08082c5-da56-5cab-a819-f1a45681b223,SMWS 7.100 - SMWS 7.100
7.101,5ddf0fa2-a15e-5f5f-9a51-c4ccc3fb0189,SMWS 7.101 - SMWS 7.101
7.103,4f2810a6-5206-5ea0-9716-c798a2e3c8e1,SMWS 7.103 - SMWS 7.103
007.105,e563f1b7-fd8f-5d03-85f3-c20503b1620b,SMWS 007.105 - SMWS 007.105
7.109,15f954f0-63dc-5aa5-8ce9-be3fef6414c1,SMWS 7.109 - SMWS 7.109
7.111,9173fc7c-8e53-59c7-a590-536def6d65e4,SMWS 7.111 - SMWS 7.111
007.116,b2b3bff7-b440-5b6e-8145-471607705f2a,SMWS 007.116 - to travel is better than to arrive
007.133,d4d7a90f-c5cb-5da2-ae40-aa0f08e18b99,SMWS 007.133 - SMWS 007.133
7.29,1d7003ff-3292-5775-bc19-8d6beb7f95c0,SMWS 7.29 - A Devine Spirit
7.39,848f0045-74af-53ee-935b-e25e98760ca2,SMWS 7.39 - Just Amazing
007.40,6bcc301b-669c-5589-b739-ac990f112bff,SMWS 007.40 - Rich and Heady
7.47,9c7b5716-5970-55c8-bb60-05a13d2312ed,SMWS 7.47 - Church Pews and Tobacco
7.53,6443f5b5-8abd-511b-98c8-fa381b6f3bbc,"SMWS 7.53 - Nutty
 characters"
7.77,76f7ef6f-0e2b-5c38-8345-f52674017939,SMWS 7.77 - SMWS 7.77
