whisky_id,field,current_value,proposed_value,confidence,source,status,classification
7df43210-70eb-5556-8f54-096fa1ae296f,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
7df43210-70eb-5556-8f54-096fa1ae296f,age,,5.0,0.95,smws,pending,NO_CHANGE
7df43210-70eb-5556-8f54-096fa1ae296f,abv,,56.2,0.95,smws,pending,NO_CHANGE
7df43210-70eb-5556-8f54-096fa1ae296f,region,,Islay,0.95,smws,pending,CONFLICT
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,age,,10.0,0.95,smws,pending,NO_CHANGE
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,abv,,55.6,0.95,smws,pending,NO_CHANGE
a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,region,,Islay,0.95,smws,pending,CONFLICT
90925ce2-f26c-59de-adb7-e323c2c1a5f7,age,,10.0,0.95,smws,pending,NO_CHANGE
90925ce2-f26c-59de-adb7-e323c2c1a5f7,abv,,56.4,0.95,smws,pending,NO_CHANGE
90925ce2-f26c-59de-adb7-e323c2c1a5f7,region,,Islay,0.95,smws,pending,CONFLICT
afb23bc7-b657-52da-8f88-85bad84dcd45,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
afb23bc7-b657-52da-8f88-85bad84dcd45,age,,21.0,0.95,smws,pending,NO_CHANGE
afb23bc7-b657-52da-8f88-85bad84dcd45,abv,,50.8,0.95,smws,pending,NO_CHANGE
afb23bc7-b657-52da-8f88-85bad84dcd45,region,,Islay,0.95,smws,pending,NO_CHANGE
a2056777-c982-5377-ad51-7a60dfb52d20,cask_type,,first-fill,0.95,smws,pending,NO_CHANGE
a2056777-c982-5377-ad51-7a60dfb52d20,age,,9.0,0.95,smws,pending,NO_CHANGE
a2056777-c982-5377-ad51-7a60dfb52d20,abv,,58.0,0.95,smws,pending,NO_CHANGE
a2056777-c982-5377-ad51-7a60dfb52d20,region,,Islay,0.95,smws,pending,NO_CHANGE
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,age,,11.0,0.95,smws,pending,NO_CHANGE
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,abv,,58.4,0.95,smws,pending,NO_CHANGE
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,region,,Islay,0.95,smws,pending,NO_CHANGE
49cb6612-1208-5a5f-b429-17b5c8af8d5c,cask_type,,butt;refill,0.95,smws,pending,NO_CHANGE
49cb6612-1208-5a5f-b429-17b5c8af8d5c,age,,16.0,0.95,smws,pending,NO_CHANGE
49cb6612-1208-5a5f-b429-17b5c8af8d5c,abv,,56.6,0.95,smws,pending,NO_CHANGE
49cb6612-1208-5a5f-b429-17b5c8af8d5c,region,,Islay,0.95,smws,pending,NO_CHANGE
bb387b06-8ae8-5b78-adad-082101031288,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
bb387b06-8ae8-5b78-adad-082101031288,age,,9.0,0.95,smws,pending,NO_CHANGE
bb387b06-8ae8-5b78-adad-082101031288,abv,,59.1,0.95,smws,pending,NO_CHANGE
bb387b06-8ae8-5b78-adad-082101031288,region,,Islay,0.95,smws,pending,NO_CHANGE
cab6a49d-1102-5a3c-a3d5-42504490debd,cask_type,,butt;sherry butt,0.95,smws,pending,NO_CHANGE
cab6a49d-1102-5a3c-a3d5-42504490debd,age,,23.0,0.95,smws,pending,NO_CHANGE
cab6a49d-1102-5a3c-a3d5-42504490debd,abv,,48.4,0.95,smws,pending,NO_CHANGE
cab6a49d-1102-5a3c-a3d5-42504490debd,region,,Islay,0.95,smws,pending,NO_CHANGE
40519583-3c03-51c4-8259-a16b15634056,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
40519583-3c03-51c4-8259-a16b15634056,age,,15.0,0.95,smws,pending,NO_CHANGE
40519583-3c03-51c4-8259-a16b15634056,abv,,61.2,0.95,smws,pending,NO_CHANGE
40519583-3c03-51c4-8259-a16b15634056,region,,Islay,0.95,smws,pending,NO_CHANGE
a73fc26d-3117-5d0a-9e49-a8d7de9941d9,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
a73fc26d-3117-5d0a-9e49-a8d7de9941d9,age,,15.0,0.95,smws,pending,NO_CHANGE
a73fc26d-3117-5d0a-9e49-a8d7de9941d9,abv,,60.5,0.95,smws,pending,NO_CHANGE
a73fc26d-3117-5d0a-9e49-a8d7de9941d9,region,,Islay,0.95,smws,pending,NO_CHANGE
a1b32118-e956-521b-8a60-d5dc187b5f49,cask_type,,hogshead;refill,0.95,smws,pending,NO_CHANGE
