staging_id,smws_code,staging_name,matched_whisky_id,matched_name,score,classification,age,abv
121,5.38,Lowland,72edfaa3-ffdc-5814-ab91-5470d61a38aa,Auchentoshan SMWS 5.38 - SMWS 5.38,0.9329,EXACT,13.0,57.2
122,5.40,Lowland,460c18d5-bf31-5734-b56d-298b407cc7da,Auchentoshan SMWS 5.40 - SMWS 5.40,0.9329,EXACT,13.0,56.7
123,5.42,,,,0.3834,CREATE,,
124,5.47,"SW E E T, F R U I T Y & M E L LOW",def19358-bdfa-5209-a6bb-86299e561d10,Auchentoshan SMWS 5.47 - SMWS 5.47,0.9336,EXACT,14.0,59.8
125,5.48,"DEEP, RICH & DRIED FRUITS",881baad2-7b08-54a4-ac2f-67d0c35f93af,Auchentoshan SMWS 5.48 - SMWS 5.48,0.9341,EXACT,13.0,59.6
126,5.49,"JUICY, OAK & VANILLA",fd9965cc-f6be-5065-aa7e-710399f0afee,Auchentoshan SMWS 5.49 - SMWS 5.49,0.9337,EXACT,11.0,57.3
127,5.7,Eve`s Pudding with Cr�me Patisserie,01d92b9a-a1a6-5f29-a10b-0011a4f51117,Auchentoshan SMWS 005.7 - Eve`s Pudding with Cr�me Patisserie,0.9446,EXACT,11.0,60.8
128,6.23,"Highlands, Speyside (Deveron)",b94ec1af-e421-5f11-ab3f-0d6bdc9cfa42,Macduff SMWS 6.23 - old man,0.9321,EXACT,9.0,59.5
129,7.100,"Speyside, Lossie",a08082c5-da56-5cab-a819-f1a45681b223,Longmorn SMWS 7.100 - SMWS 7.100,0.9333,EXACT,28.0,58.7
130,7.101,"Speyside, Lossie",5ddf0fa2-a15e-5f5f-9a51-c4ccc3fb0189,Longmorn SMWS 7.101 - SMWS 7.101,0.9333,EXACT,10.0,60.2
131,7.103,"Speyside, Lossie",4f2810a6-5206-5ea0-9716-c798a2e3c8e1,Longmorn SMWS 7.103 - SMWS 7.103,0.9333,EXACT,29.0,51.6
132,7.105,"SW E E T, F R U I T Y & M E L LOW",e563f1b7-fd8f-5d03-85f3-c20503b1620b,Longmorn SMWS 007.105 - SMWS 007.105,0.9317,EXACT,21.0,54.5
133,7.109,"Speyside, Lossie",15f954f0-63dc-5aa5-8ce9-be3fef6414c1,Longmorn SMWS 7.109 - SMWS 7.109,0.9333,EXACT,10.0,59.7
134,7.111,"Speyside, Lossie",9173fc7c-8e53-59c7-a590-536def6d65e4,Longmorn SMWS 7.111 - SMWS 7.111,0.9333,EXACT,11.0,60.1
135,7.116,OLD & DIGNIFIED,b2b3bff7-b440-5b6e-8145-471607705f2a,Longmorn SMWS 007.116 - to travel is better than to arrive,0.9333,EXACT,29.0,58.5
136,7.133,YO U N G & S P R I T E LY,d4d7a90f-c5cb-5da2-ae40-aa0f08e18b99,Longmorn SMWS 007.133 - SMWS 007.133,0.8846,STRONG,12.0,
137,7.29,A Devine Spirit,1d7003ff-3292-5775-bc19-8d6beb7f95c0,Longmorn SMWS 7.29 - A Devine Spirit,0.9418,EXACT,36.0,53.3
138,7.39,A private membership club,848f0045-74af-53ee-935b-e25e98760ca2,Longmorn SMWS 7.39 - Just Amazing,0.9314,EXACT,38.0,51.0
139,7.40,Rich and Heady,6bcc301b-669c-5589-b739-ac990f112bff,Longmorn SMWS 007.40 - Rich and Heady,0.941,EXACT,21.0,52.5
140,7.47,Church Pews and Tobacco,9c7b5716-5970-55c8-bb60-05a13d2312ed,Longmorn SMWS 7.47 - Church Pews and Tobacco,0.9437,EXACT,39.0,49.7
141,7.53,"Highlands, Speyside (Lossie)",6443f5b5-8abd-511b-98c8-fa381b6f3bbc,"Longmorn SMWS 7.53 - Nutty
 characters",0.9336,EXACT,41.0,46.0
142,7.77,"Speyside, Lossie",76f7ef6f-0e2b-5c38-8345-f52674017939,Longmorn SMWS 7.77 - SMWS 7.77,0.9335,EXACT,22.0,54.8
143,7.80,"Speyside, Lossie",0da48c20-08fd-5ba8-9a80-2a0d64b06a64,Longmorn SMWS 7.80 - SMWS 7.80,0.9335,EXACT,22.0,51.4
144,7.85,"Speyside, Lossie",997f0a5e-b3f5-58e0-ac91-7cb6108a8e0f,Longmorn SMWS 7.85 - SMWS 7.85,0.9335,EXACT,19.0,53.6
145,7.89,"Speyside, Lossie",603361f9-a081-5e15-86ae-29a3863bbf57,Longmorn SMWS 7.89 - SMWS 7.89,0.9335,EXACT,27.0,54.1
146,7.93,"Speyside, Lossie",f8d9a3db-10da-5584-9764-dc3aa0f2d074,Longmorn SMWS 7.93 - SMWS 7.93,0.9335,EXACT,11.0,57.6
147,7.94,"Speyside, Lossie",bac17ee6-ba73-5d9b-a9ba-b259420ef1e7,Longmorn SMWS 7.94 - SMWS 7.94,0.9335,EXACT,27.0,55.6
148,7.97,"Speyside, Lossie",085b02c9-ff1e-5311-9b20-b12c22a6eaae,Longmorn SMWS 7.97 - SMWS 7.97,0.9335,EXACT,20.0,53.9
149,7.98,"Speyside, Lossie",9d19f57d-5f19-527e-a2ca-b04899fc0746,Longmorn SMWS 7.98 - SMWS 7.98,0.9335,EXACT,9.0,60.2
150,8.35,Foxgloves and Spangles,84988f3e-cf4b-5393-a126-a0ec96601f21,Tamdhu SMWS 008.35 - Foxgloves and Spangles,0.9435,EXACT,20.0,62.5
151,8.42,Fruity,c3dce1c4-9531-51fe-b1b6-0b2edc1a5e7d,Tamdhu SMWS 8.42 - Fruity,0.9377,EXACT,14.0,59.1
152,9.35,Fun Fair Food Stalls,489bcdd6-48d3-52f4-b288-234c1d30a9dc,Glen Grant SMWS 009.35 - Fun Fair Food Stalls,0.9423,EXACT,5.0,53.9
153,9.47,"Highlands, Speyside (Rothes)",1d6101de-f1a8-5767-9f46-789a3117d799,"Glen Grant SMWS 9.47 - creamy rice pudding, dusted with gold leaf
and ground ginger",0.9336,EXACT,24.0,51.4
154,9.57,"Highlands, Speyside (Rothes)",d0bf10ba-7a56-5074-b833-08e374cec988,Glen Grant SMWS 9.57 - seduction whisky,0.9324,EXACT,25.0,49.4
155,9.59,"Highlands, Speyside (Rothes)",0b82dcc4-3f08-5be6-952e-d8b2cac072e3,"Glen Grant SMWS 9.59 - malty

gold dust",0.9354,EXACT,13.0,58.2
156,9.60,"Highlands, Speyside (Rothes)",10e9d25e-fd53-5de8-8ed4-dc2a3d1251cb,Glen Grant SMWS 9.60 - SMWS 9.60,0.936,EXACT,13.0,57.6
157,9.62,"Speyside, Spey",247ccbeb-08fe-5417-818f-d8091f1c01f1,Glen Grant SMWS 9.62 - SMWS 9.62,0.9326,EXACT,8.0,62.1
158,9.66,"Speyside, Spey",6c1c7820-11cc-5e6e-9370-34fe66ab652f,Glen Grant SMWS 9.66 - SMWS 9.66,0.9326,EXACT,14.0,56.5
