whisky_id,column,previous_value,new_value
9afa2b83-efff-5b0f-b35a-e6e593a6b12c,region,,NULL
45f12fdf-f747-5e38-af1b-bed2b6b6ba26,region,,NULL
2ba5665a-cbc8-5e37-a862-f2bdcd6e1c7f,region,,NULL
e7a008ba-5147-5e95-bb8f-03c21477c157,region,,NULL
9c209d83-94ca-588a-9543-1c0d6e96b7be,region,,NULL
29ca54bc-85d4-5ca8-bed3-866a744c26df,region,,NULL
6c3b67e2-8cc8-56af-8fd8-b4dc59094e5d,region,,NULL
27867c46-80ff-5d2f-8543-40156990ab2c,region,,NULL
d6a833f4-a84c-5766-ba3a-f0703b7a75b9,region,,NULL
4daf421f-9ddf-5d38-bb34-fed03de6764f,region,,NULL
c50f9cd6-5068-5ac0-b2fc-7b1ac82a7704,region,,NULL
90bf1294-089d-5aca-870f-a8900113a7c2,region,,NULL
2925e03e-0de8-52c4-bee4-58345c070f0f,region,,NULL
41eb0894-7a23-5007-9be6-559e8f495df4,region,,NULL
4ba206a5-3c3e-58fb-b5c9-ec8eda6f1013,region,,NULL
2f6a5b3d-100b-543c-b800-625f82a41b10,region,,NULL
0c472ef8-61f0-509f-b944-62256b9b053c,region,,NULL
1b455c7a-cb06-5dd3-b324-39ab0cf63c31,region,,NULL
e7c90679-b948-5d05-8869-ca1720279d6e,region,,NULL
71b98e63-aa60-57a6-8857-ce260511dbed,region,,NULL
2880ac31-0882-5907-895a-677c3a693df0,region,,NULL
b229f565-dc4d-54bc-b200-19ec15f9bde2,region,,NULL
2f4512ac-949a-5ad7-831f-6e4184db6bc5,region,,NULL
1a5da3d1-410a-5c83-96dc-1f37711f743d,region,,NULL
21eb6e55-420d-5684-a8cf-b5144075079b,region,,NULL
c70437b7-2004-5aca-9ba6-e43e8d80b345,region,,NULL
ace5d4d2-c540-568c-a0f4-a1dd37104ee6,region,,NULL
32e2e07a-dcdd-57a0-8375-aec61ba69854,region,,NULL
f52fbc67-53a2-5999-9e94-12f45688f00f,region,,NULL
9f9836c4-6184-5460-8a33-ba9e7263f2b3,region,,NULL
87258de8-1942-558a-8918-53377ccb7bce,region,,NULL
9cf39599-6bc3-555c-8a87-75fc94c81667,region,,NULL
1aedd086-0004-5f82-be3f-ac59e247b290,region,,NULL
