smws_code,product_name,distillery,bottler,matched_whisky_id,matched_name,confidence,match_type,reason,resolver_version,resolver_stage
3.270,OILY & COASTAL,Bowmore,,f8de9132-49dc-5638-acae-f78c8e6986e2,Bowmore SMWS 3.270 - SMWS 3.270,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.274,LIGHTLY PEATED,Bowmore,,02c1442c-b077-50ba-80f2-17d811a6d0d2,Bowmore SMWS 3.274 - SMWS 3.274,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.87,Old Boat Varnish and Very Smoky,Bowmore,,5d3f8399-d8ce-5f0a-b597-db701aefb0f6,Bowmore SMWS 3.87 - Old Boat Varnish and Very Smoky,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.97,No Water Required,Bowmore,,0b9d77e4-659a-59ee-a1a0-c30bc035b351,Bowmore SMWS 3.97 - No Water Required,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
3.98,An Islay Sweetie,Bowmore,,ba40e478-5e37-5261-aa3b-e60ef1448470,Bowmore SMWS 3.98 - An Islay Sweetie,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.103,Summer in the Isles,Highland Park,,48b76d49-3cea-56bb-a5ea-02af7c181389,Highland Park SMWS 4.103 - Summer in the Isles,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.107,Toffee and the Phantom Beefsteak,Highland Park,,6037a55b-ec66-55f7-9e17-b482a403e7e0,Highland Park SMWS 4.107 - Toffee and the Phantom Beefsteak,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.114,Coastal Delight,Highland Park,,88035bdd-884f-5488-93f8-c1ffb817364f,Highland Park SMWS 4.114 - Coastal Delight,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.118,"Smoke, Peat and Orange Marmalade",Highland Park,,e1fa9e80-a79b-5cf2-bc3f-ae380696f7b4,"Highland Park SMWS 4.118 - Smoke, Peat and Orange Marmalade",0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.120,Sunshine in a Bottle,Highland Park,,aaa43573-8c35-57b3-afd2-0c7a26683263,Highland Park SMWS 4.120 - Sunshine in a Bottle,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.135,"Highlands, Orkney",Highland Park,,e074f3a3-e799-5203-8cec-b965bf913e62,Highland Park SMWS 4.135 - SMWS 4.135,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.137,"Highlands, Orkney",Highland Park,,80bacdff-f9e4-5dca-b90b-8c7670b35587,Highland Park SMWS 4.137 - Oooh!,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.138,"Highlands, Orkney",Highland Park,,52a9c5a9-a1f9-5b8c-975b-4d04ccb82290,"Highland Park SMWS 4.138 - a
  vanilla patisserie",0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.145,"Highlands, Orkney",Highland Park,,9179c557-8797-5aec-b6d4-15e15e75ef29,Highland Park SMWS 4.145 - SMWS 4.145,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.146,"Highlands, Orkney",Highland Park,,d4635d93-bd03-544e-8c28-c6a590c863b4,Highland Park SMWS 4.146 - SMWS 4.146,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.148,"Highland, Orkney",Highland Park,,325e83db-d4dc-552e-8493-7ffbeeb467b3,"Highland Park SMWS 4.148 - chip shop brown
sauce",0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.151,"Highlands, Orkney",Highland Park,,1f9e358e-e702-5cdb-83fd-1f502379b020,Highland Park SMWS 4.151 - SMWS 4.151,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.153,"Highlands, Orkney",Highland Park,,1dc7c9b6-7d88-53d4-995d-578b398fca2e,Highland Park SMWS 4.153 - SMWS 4.153,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.156,"Highland, Island",Highland Park,,4f363859-6736-5a47-a78b-caac43bd7035,Highland Park SMWS 4.156 - SMWS 4.156,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.160,"Highland, Island",Highland Park,,507f6bdb-bf78-5c19-a6e0-8e622b2c2d84,Highland Park SMWS 4.160 - SMWS 4.160,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.162,"Highland, Island",Highland Park,,f865b05e-a649-5ff1-881a-50c2031c7d80,Highland Park SMWS 4.162 - SMWS 4.162,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.163,"Highland, Island",Highland Park,,fbcd8b02-6ff3-56a1-be42-a40619a610d7,Highland Park SMWS 4.163 - SMWS 4.163,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.164,"Highland, Island",Highland Park,,ab161ef7-6f6b-5d3f-9a75-e79e5499d601,Highland Park SMWS 4.164 - SMWS 4.164,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.169,"Highland, Island",Highland Park,,99abf37a-b1ed-5d55-8566-1a41089efd55,Highland Park SMWS 4.169 - SMWS 4.169,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.171,"Highland, Island",Highland Park,,47003c2d-9022-52e2-9a2a-900c3621db60,Highland Park SMWS 4.171 - SMWS 4.171,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.172,"Highland, Island",Highland Park,,61607d8a-3b83-568b-9104-f97ed19300d0,Highland Park SMWS 4.172 - SMWS 4.172,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.175,"Highland, Island",Highland Park,,d0392b30-9774-550c-bad5-3f6747f85d1f,Highland Park SMWS 4.175 - SMWS 4.175,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.178,"Highland, Island",Highland Park,,01813d48-182c-5cec-8f43-ea9c0ee144d2,Highland Park SMWS 4.178 - SMWS 4.178,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
4.183,"Highland, Island",Highland Park,,56b0ecd5-b248-5c08-8b28-1e604adedd99,Highland Park SMWS 4.183 - SMWS 4.183,0.95,MERGE,smws_code linked to existing whisky_id in production.db (flavor_evidence/promotion_ready),P127.5,MERGE
