whisky_id,field,column,current_value,proposed_value,action,field_class,confidence,citation_id,source,dedupe_key,conflict
0bf77a63-8c48-5142-8447-3064ddfc0994,region,region,,Highland,APPLY,REPLACE,0.95,CIT_72ec4ddf6c9b157a4ca5993a16a22d4ed71857eb0eb92933b1cfe21cd5e01f30,smws,9247c8da68e341bce0c45c49531282ab8f1f1744b8ca4c859301564ba39a3e4c,fill_null
0c472ef8-61f0-509f-b944-62256b9b053c,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_61d87a5990763aa99ef2549672966e3882bc447709c82c0924f29dc3c6ff6b59,smws,b13983e2e8561f4d8d39a081ff6bf3159a47fe73ffff515eee187c86084113f9,fill_null
0c56eb49-b5da-5493-b1ff-c097bcda1408,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_4e0a603a0ce5030ab962d7f080b475086972d7283019587c4531277c202878cb,smws,6d44932ea7f12200ebd6e32ec70a27890d341b88560d943d2e771e95a854f96f,fill_null
0c56eb49-b5da-5493-b1ff-c097bcda1408,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_4e0a603a0ce5030ab962d7f080b475086972d7283019587c4531277c202878cb,smws,8fef3043c57970e99b1a31f822373477d5ec48cf4fcc0261df9dde6ec4794087,fill_null
0d9b8cd5-74a2-5cd7-93b0-434f1a99a6ba,cask_type,cask_type,,hogshead;refill,APPEND,APPEND,0.95,CIT_ab87726731161b3819ab01e64853159cbb2ed6813af5b77fef9633b83ab88dd4,smws,f267ba2302f3c17ae693966aaceb118ac64862c5df539b18b3ff2f8663cc6a6b,fill_null
0da48c20-08fd-5ba8-9a80-2a0d64b06a64,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_ab63cf6c3a43dc9a8eed1f018fe99e833e02f2b12971a193ce6463be670ab1a8,smws,106962df17c85032aef01aee472949d4f8fa88e50d7d971fe54eba3495f9a2d7,fill_null
0da48c20-08fd-5ba8-9a80-2a0d64b06a64,region,region,,Speyside,APPLY,REPLACE,0.95,CIT_ab63cf6c3a43dc9a8eed1f018fe99e833e02f2b12971a193ce6463be670ab1a8,smws,74696bb264c9c48aa3232861f81c67b8e63ef65fc0eba3839cf4836f2f30a762,fill_null
0da77f45-86ad-55d0-b850-f0288859a360,cask_type,cask_type,,refill,APPEND,APPEND,0.95,CIT_cd45fcf36956ab33c5d31a7bc12fe38216e118250746bbd165cf2f5c7cd005b8,smws,6a2412353090c6cce3504afb6f96b1ec7cb9fe81d9596c61f07f4506f1fd425f,fill_null
0da77f45-86ad-55d0-b850-f0288859a360,region,region,,Highland,APPLY,REPLACE,0.95,CIT_cd45fcf36956ab33c5d31a7bc12fe38216e118250746bbd165cf2f5c7cd005b8,smws,e8abf4c79cc73f0f00e72ef32ce27b081413f07f69cc8e450805e0638d9dbab0,fill_null
0db5e21b-c412-51d2-a2dd-74098738ba8b,region,region,Highlands / District,Highlands / District,APPLY,REPLACE,0.95,CIT_b982bff34ee5f09db8b61b5424f0a45b3ad78d11e7904e09fbe9022fac311e74,smws,f96597ae91e45d8e26de2ec5c881853e0b6830a85b8f4818699c0dd1844413ae,skipped_existing_stronger
