raw_name,age_raw,age,vintage,no_age_statement,abv,historical_menu_price,is_cask_strength,general_note,page_number,source_file,source_type,source_confidence,raw_line,best_match,match_score,review_reason,db_age,db_abv,record_id,typo_candidate,suggested_correction,matched_whisky_id,matched_master_name,match_status
Coleburn,1981,,1981.0,False,43,11,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Coleburn,Limeburners,14,No close match found,,,,,,W001407,lot 40,REJECTED
Convalmore,1981,,1981.0,False,40,10,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Convalmore,Dalmore 18yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Cragganmore,12yo,12.0,,False,40,6,False,,4,The_Malt_List.pdf,historical_bar_menu,medium,Cragganmore,Cragganmore 25yo,14,Fuzzy match threshold,25.0,,WDB-00423,,,W001407,lot 40,REJECTED
Cragganmore,1981,,1981.0,False,40,7,False,"Cragganmore Distillers Ed. 1987 40% 7. Craigellachie 20yo/1981 43% 7. CU Dhub 40% 7. Dailuaine 16yo 40% 8. Dalmore 12yo 40% ‘One of my personal favourites. The 10yo has a lovely mix of sherry notes with chocolate and orange flavours. I have had the pleasure of meeting the man who makes the vattings and blendings for the Dalmore, Mr Richard Patterson. One of the most charismatic men in the industry.’ MK",5,The_Malt_List.pdf,historical_bar_menu,medium,Cragganmore,Cragganmore 25yo,14,Fuzzy match threshold,25.0,,WDB-00423,,,W001407,lot 40,REJECTED
Dalmore,15yo,15.0,,False,40,7,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalmore,Altore,14,No close match found,,,,,,W001407,lot 40,REJECTED
Dalmore,18yo,18.0,,False,43,9,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalmore,Altore,14,No close match found,,,,,,W001407,lot 40,REJECTED
Dalmore Cigar Malt,no statement,,,True,44,6,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalmore Cigar Malt,Dalmore Cigar Malt,14,ABV mismatch or missing,,,WDB-00337,,,W001407,lot 40,REJECTED
Dallas Dhu last cask,1983,,1983.0,False,48,50,False,A bottle filled from the last cask ever filled at the Dallas Dhu distillery in Forres. Closed in 1983 and reopened in 1988 but only as a historic building. A very special malt from a dearly departed distillery.’ MK,5,The_Malt_List.pdf,historical_bar_menu,medium,Dallas Dhu last cask,Kavalan Solist Rum Cask,14,No close match found,,,,,,W001407,lot 40,REJECTED
Dalwhinnie,15yo,15.0,,False,43,6,False,Dalwhinnie Distillers Ed. 1996 43% 7. Dufftown 1998 43% 8. Dunaverty (Campbelltown) 5yo 43% 25. Dunaverty (Campbelltown) 8yo 43% 35. Drumguish 40% 8. Edradour (Pitlochry) 10yo 40% 6. ‘The smallest distillery in Scotland located in Pitlochry currently independently owned. Spicy and fruity on the palate.’ MK,5,The_Malt_List.pdf,historical_bar_menu,medium,Dalwhinnie,Dalwhinnie 15yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Edradour (Pitlochry),10yo/1998,10.0,1998.0,False,46,9,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Edradour (Pitlochry),Brauerei Locher,14,No close match found,,,,,,W001407,lot 40,REJECTED
Faculty of Advocates,8yo,8.0,,False,40,7,False,,5,The_Malt_List.pdf,historical_bar_menu,medium,Faculty of Advocates,Gutshof Andres,14,No close match found,,,,,,W001407,lot 40,REJECTED
Finlaggan,no statement,,,True,40,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Finlaggan,Finlaggan Old Reserve,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glen Albyn,21yo,21.0,,False,40,40,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Albyn,Glen Els,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glen Avon,8yo,8.0,,False,40,7,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glen Avon,Glen Els,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenallachie,1989,,1989.0,False,62.5,8,True,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenallachie,Glen Kella,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenburgie,15yo,15.0,,False,46,10,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenburgie,17yo/1995,17.0,1995.0,False,43,8,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glenburgie,8yo,8.0,,False,40,12,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glenburgie,Glenmorangie 18yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glencadam,1974,,1974.0,False,40,11,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencadam,Glencadam 25yo,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glencoe,8yo,8.0,,False,58,12,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencoe,Glengoyne 12Y,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glencraig,1975,,1975.0,False,40,15,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glencraig,Glendalough,14,No close match found,,,,,,W001407,lot 40,REJECTED
Glendronach (Huntly),8yo,8.0,,False,40,20,False,,6,The_Malt_List.pdf,historical_bar_menu,medium,Glendronach (Huntly),GlenDronach Peated,14,No close match found,,,,,,W001407,lot 40,REJECTED
