uuid_whisky_id,matched_w_id,match_type,confidence_score,match_basis,distillery_id,age,abv
674d5c67-6c9c-55cd-91af-ac7ca89bef94,W002135,weak,0.6,distillery_id(only),D1114,13.0,51.4
c237a668-ac1d-5592-ae23-24d77e4e1a32,W002135,weak,0.6,distillery_id(only),D1114,23.0,48.5
1764dc8a-2501-5e70-9d2e-349c78c6a71c,W002566,weak,0.6,distillery_id(only),D1386,22.0,52.6
ffbc3db7-ef35-505e-a429-f264a2460d63,W002526,weak,0.6,distillery_id(only),D1386,15.0,53.6
535e571f-dd40-5900-a939-275b6c7bfa14,W002594,weak,0.509,distillery_id+name_fuzzy_weak(0.52),D1421,23.0,51.9
7d5208d8-e8f2-5f60-9796-8be168cd91df,W002594,weak,0.6,distillery_id(only),D1421,10.0,61.4
19980adc-80d9-5365-a150-68add5e0b3bf,W002594,weak,0.6,distillery_id(only),D1421,10.0,61.6
824f65ab-ef02-57bd-a02a-e26b772d8033,W002594,weak,0.509,distillery_id+name_fuzzy_weak(0.52),D1421,24.0,53.3
4b371400-8da6-5055-a3bb-e5572178e52d,W000002,weak,0.6,distillery_id(only),D0002,23.0,49.8
a2792400-9949-53f6-93ab-fb758e061c18,W000002,weak,0.6,distillery_id(only),D0002,17.0,49.2
4c2abb3a-be19-578e-b874-e0a8005eaf77,W000002,weak,0.6,distillery_id(only),D0002,20.0,
415cab1e-628e-541c-9c9d-a891f95a255b,W000002,weak,0.6,distillery_id(only),D0002,20.0,58.4
75c93994-2597-5823-bd00-c5bf988fa2e7,W000002,weak,0.6,distillery_id(only),D0002,16.0,58.5
19a86362-6101-543d-b38a-321fe261e4f6,W000002,weak,0.6,distillery_id(only),D0002,16.0,51.6
1d9be9ee-5bf0-5823-a027-35adea6e3b31,W000002,weak,0.6,distillery_id(only),D0002,16.0,
60044aa8-38fd-5ea6-8655-30420036780c,W000002,weak,0.6,distillery_id(only),D0002,17.0,58.1
04210a8e-2fb9-59b0-989f-075a38a4f5b6,W000002,weak,0.6,distillery_id(only),D0002,13.0,58.9
a10c3a1a-3ffc-5942-bed1-168f65b4f633,W000002,weak,0.6,distillery_id(only),D0002,16.0,59.3
f1c7dad4-49a1-591b-8873-a426e5aa6bc1,W000002,weak,0.6,distillery_id(only),D0002,17.0,59.1
37b64209-818d-5db8-b702-e4befa51d54e,W000002,weak,0.6,distillery_id(only),D0002,18.0,54.6
0f01956b-105b-5d7a-aee4-cfcfcee1bf9b,W000002,weak,0.6,distillery_id(only),D0002,18.0,54.0
14bf995e-4f44-53a0-950d-fb547b537c26,W000002,weak,0.6,distillery_id(only),D0002,11.0,58.2
631f719e-2726-5b69-b272-ca88b906f604,W000002,weak,0.6,distillery_id(only),D0002,8.0,58.2
