uuid_whisky_id,distillery_id,age,abv,name,reason
61607d8a-3b83-568b-9104-f97ed19300d0,D1871,13.0,60.1,Highland Park SMWS 4.172 - SMWS 4.172,distillery_id_absent_from_W_set
d0392b30-9774-550c-bad5-3f6747f85d1f,D1871,13.0,55.9,Highland Park SMWS 4.175 - SMWS 4.175,distillery_id_absent_from_W_set
01813d48-182c-5cec-8f43-ea9c0ee144d2,D1871,18.0,59.1,Highland Park SMWS 4.178 - SMWS 4.178,distillery_id_absent_from_W_set
56b0ecd5-b248-5c08-8b28-1e604adedd99,D1871,13.0,62.1,Highland Park SMWS 4.183 - SMWS 4.183,distillery_id_absent_from_W_set
539c547d-92cd-5ec2-8edf-49b2dd3f1d91,D1871,13.0,61.8,Highland Park SMWS 4.188 - SMWS 4.188,distillery_id_absent_from_W_set
605431d1-f644-5dcc-a88f-17f23ac53b0b,D1871,22.0,53.9,Highland Park SMWS 4.190 - SMWS 4.190,distillery_id_absent_from_W_set
0632580d-de61-55e7-8409-0b5599cd561e,D1871,22.0,54.2,Highland Park SMWS 4.191 - SMWS 4.191,distillery_id_absent_from_W_set
18f2a337-d292-520a-914c-6eaa255f71c9,D1871,14.0,56.4,Highland Park SMWS 4.197 - SMWS 4.197,distillery_id_absent_from_W_set
52ffae21-8045-5292-8d7a-c742b0b72196,D1871,15.0,55.8,Highland Park SMWS 4.203 - SMWS 4.203,distillery_id_absent_from_W_set
77954d9a-d5cc-57c0-aa4b-e7a982e80b3f,D1871,19.0,54.6,Highland Park SMWS 4.207 - SMWS 4.207,distillery_id_absent_from_W_set
c4765adf-d4d7-533f-a257-85d99269bf8b,D1871,24.0,52.2,Highland Park SMWS 4.211 - SMWS 4.211,distillery_id_absent_from_W_set
4db5a47f-a3fa-559f-896f-25c1902824b7,D1871,19.0,53.5,Highland Park SMWS 4.216 - SMWS 4.216,distillery_id_absent_from_W_set
1fba5a7a-64ea-5518-bc5d-f16029813fdb,D1871,19.0,53.9,Highland Park SMWS 4.217 - SMWS 4.217,distillery_id_absent_from_W_set
463e6420-c042-5467-8a93-9d86c0640425,D1871,16.0,55.9,Highland Park SMWS 4.218 - SMWS 4.218,distillery_id_absent_from_W_set
9fdd5383-121f-5566-973a-36d04d95a068,D1871,18.0,56.1,"Highland Park SMWS 4.96 - Toffee, Fudge and a Touch of Smoke",distillery_id_absent_from_W_set
b94ec1af-e421-5f11-ab3f-0d6bdc9cfa42,D1890,9.0,59.5,Macduff SMWS 6.23 - old man,distillery_id_absent_from_W_set
a08082c5-da56-5cab-a819-f1a45681b223,D1889,28.0,58.7,Longmorn SMWS 7.100 - SMWS 7.100,distillery_id_absent_from_W_set
5ddf0fa2-a15e-5f5f-9a51-c4ccc3fb0189,D1889,10.0,60.2,Longmorn SMWS 7.101 - SMWS 7.101,distillery_id_absent_from_W_set
4f2810a6-5206-5ea0-9716-c798a2e3c8e1,D1889,29.0,51.6,Longmorn SMWS 7.103 - SMWS 7.103,distillery_id_absent_from_W_set
e563f1b7-fd8f-5d03-85f3-c20503b1620b,D1889,21.0,54.5,Longmorn SMWS 007.105 - SMWS 007.105,distillery_id_absent_from_W_set
15f954f0-63dc-5aa5-8ce9-be3fef6414c1,D1889,10.0,59.7,Longmorn SMWS 7.109 - SMWS 7.109,distillery_id_absent_from_W_set
9173fc7c-8e53-59c7-a590-536def6d65e4,D1889,11.0,60.1,Longmorn SMWS 7.111 - SMWS 7.111,distillery_id_absent_from_W_set
b2b3bff7-b440-5b6e-8145-471607705f2a,D1889,29.0,58.5,Longmorn SMWS 007.116 - to travel is better than to arrive,distillery_id_absent_from_W_set
d4d7a90f-c5cb-5da2-ae40-aa0f08e18b99,D1889,12.0,,Longmorn SMWS 007.133 - SMWS 007.133,distillery_id_absent_from_W_set
1d7003ff-3292-5775-bc19-8d6beb7f95c0,D1889,36.0,53.3,Longmorn SMWS 7.29 - A Devine Spirit,distillery_id_absent_from_W_set
848f0045-74af-53ee-935b-e25e98760ca2,D1889,38.0,51.0,Longmorn SMWS 7.39 - Just Amazing,distillery_id_absent_from_W_set
6bcc301b-669c-5589-b739-ac990f112bff,D1889,21.0,52.5,Longmorn SMWS 007.40 - Rich and Heady,distillery_id_absent_from_W_set
9c7b5716-5970-55c8-bb60-05a13d2312ed,D1889,39.0,49.7,Longmorn SMWS 7.47 - Church Pews and Tobacco,distillery_id_absent_from_W_set
6443f5b5-8abd-511b-98c8-fa381b6f3bbc,D1889,41.0,46.0,"Longmorn SMWS 7.53 - Nutty
 characters",distillery_id_absent_from_W_set
76f7ef6f-0e2b-5c38-8345-f52674017939,D1889,22.0,54.8,Longmorn SMWS 7.77 - SMWS 7.77,distillery_id_absent_from_W_set
0da48c20-08fd-5ba8-9a80-2a0d64b06a64,D1889,22.0,51.4,Longmorn SMWS 7.80 - SMWS 7.80,distillery_id_absent_from_W_set
997f0a5e-b3f5-58e0-ac91-7cb6108a8e0f,D1889,19.0,53.6,Longmorn SMWS 7.85 - SMWS 7.85,distillery_id_absent_from_W_set
603361f9-a081-5e15-86ae-29a3863bbf57,D1889,27.0,54.1,Longmorn SMWS 7.89 - SMWS 7.89,distillery_id_absent_from_W_set
f8d9a3db-10da-5584-9764-dc3aa0f2d074,D1889,11.0,57.6,Longmorn SMWS 7.93 - SMWS 7.93,distillery_id_absent_from_W_set
bac17ee6-ba73-5d9b-a9ba-b259420ef1e7,D1889,27.0,55.6,Longmorn SMWS 7.94 - SMWS 7.94,distillery_id_absent_from_W_set
085b02c9-ff1e-5311-9b20-b12c22a6eaae,D1889,20.0,53.9,Longmorn SMWS 7.97 - SMWS 7.97,distillery_id_absent_from_W_set
9d19f57d-5f19-527e-a2ca-b04899fc0746,D1889,9.0,60.2,Longmorn SMWS 7.98 - SMWS 7.98,distillery_id_absent_from_W_set
84988f3e-cf4b-5393-a126-a0ec96601f21,D1908,20.0,62.5,Tamdhu SMWS 008.35 - Foxgloves and Spangles,distillery_id_absent_from_W_set
c3dce1c4-9531-51fe-b1b6-0b2edc1a5e7d,D1908,14.0,59.1,Tamdhu SMWS 8.42 - Fruity,distillery_id_absent_from_W_set
4b3de087-6462-5231-a3d5-5f36575d60c2,D1907,10.0,,Strathmill SMWS 100.12 - SMWS 100.12,distillery_id_absent_from_W_set
51d1180f-309b-56fe-bbd3-ca544e93784f,D1910,12.0,61.4,"Tomatin SMWS 011.24 - Peat, Grass and Delicate Fruits",distillery_id_absent_from_W_set
cf69d863-e2c8-5e0e-b3fc-5ca1f66a8096,D1910,24.0,53.7,Tomatin SMWS 011.27 - Floral Notes and Honey,distillery_id_absent_from_W_set
