whisky_id,whisky_name,distillery_name,category,region,country,age_statement,source_name,source_url,raw_tasting_notes,raw_flavor_tags,fruity_score,sweet_score,smoky_score,spicy_score,woody_score,confidence,match_method,review_status,quality_flags
W000981,bowmore 10yo tempest,Bowmore,Malt,Islay,Unknown,10yo,original_production_data,https://www.whisky.com/whisky-database/details/W000981.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W000987,westland peat week,Westland Distillery,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W000988,nikka yoichi 12yo,Yoichi,Malt,Unknown,Unknown,12yo,original_production_data,https://www.whisky.com/whisky-database/details/W000988.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",6.0,15.0,0.0,4.0,1.0,medium,fuzzy_token,manual_review,ok
W000990,game of thrones house greyjoy talisker select reserve,Talisker,Malt,Islands,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001006,spirit of hven tycho’s star,Hven,Malt,Unknown,Unknown,NAS,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001009,compass box lady luck,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001009.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
W001013,nikka miyagikyo 15yo,Miyagikyo,Malt,Unknown,Unknown,15yo,Master of Malt / TWE / Whiskybase,,,[],0.0,0.0,0.0,0.0,0.0,none,none,manual_review,zero_flavor_vector
W001015,nikka yoichi 10yo,Yoichi,Malt,Unknown,Unknown,10yo,original_production_data,https://www.whisky.com/whisky-database/details/W001015.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",6.0,15.0,0.0,4.0,1.0,medium,fuzzy_token,manual_review,ok
W001023,mackmyra svensk rök,Mackmyra,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001023.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",16.0,6.0,0.0,2.0,6.0,medium,fuzzy_token,manual_review,ok
W001024,talisker dark storm,Talisker,Malt,Islands,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001024.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,8.0,0.0,5.0,0.0,medium,fuzzy_token,manual_review,ok
W001025,bowmore 17yo white sands,Bowmore,Malt,Islay,Unknown,17yo,original_production_data,https://www.whisky.com/whisky-database/details/W001025.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",2.0,3.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,ok
W001026,compass box eleuthera,Box,Malt,Unknown,Unknown,NAS,original_production_data,https://www.whisky.com/whisky-database/details/W001026.html,Raw notes matched from historical dataset,"['bottle_name', 'bottle_name_clean', 'fruity', 'sweet', 'smoky']",3.0,0.0,0.0,1.0,0.0,medium,fuzzy_token,manual_review,entity_normalization_review
