source,source_file,source_row,brand_name,type,owner,distillery,country,whisky_count,link,match_status,matched_id,confidence_score,review_status
whiskynet.pl,brands.csv,248,Togouchi,Official brand,"Sakurao Brewery and Distillery Co., Ltd.",Sakurao Distillery,Japan,0,https://whiskynet.pl/en/brands/togouchi,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,249,Toki,Official brand,Suntory Global Spirits,—,Japan,1,https://whiskynet.pl/en/brands/toki,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,250,Tomatin,Official brand,Tomatin Distillery Co Ltd,Tomatin,Scotland,5,https://whiskynet.pl/en/brands/tomatin,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,251,Torabhaig,Official brand,Mossburn Distillers,Torabhaig,Scotland,1,https://whiskynet.pl/en/brands/torabhaig,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,252,Tullamore D.E.W.,Official brand,William Grant & Sons,Tullamore Distillery,Ireland,1,https://whiskynet.pl/en/brands/tullamore-dew,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,253,West Cork Irish Whiskey,Distillery brand,West Cork Distillers,West Cork Distillers,Ireland,0,https://whiskynet.pl/en/brands/west-cork-irish-whiskey,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,254,Wild Turkey,Official brand,Campari Group,—,USA,6,https://whiskynet.pl/en/brands/wild-turkey,EXACT_MATCH,Wild Turkey,1.0,APPROVED
whiskynet.pl,brands.csv,255,Willett,Official brand,Kentucky Bourbon Distillers Ltd.,Willett Distillery,USA,1,https://whiskynet.pl/en/brands/willett,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,256,Woodford Reserve,Official brand,Brown-Forman,Woodford Reserve Distillery,USA,6,https://whiskynet.pl/en/brands/woodford-reserve,EXACT_MATCH,Woodford Reserve,1.0,APPROVED
whiskynet.pl,brands.csv,257,Yamaga,Distillery brand,"Komasa Jyozo Co., Ltd.",Yamaga Distillery,Japan,0,https://whiskynet.pl/en/brands/yamaga,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,258,Yamazaki,Distillery brand,Suntory Global Spirits,Yamazaki Distillery,Japan,1,https://whiskynet.pl/en/brands/yamazaki,EXACT_MATCH,Yamazaki,1.0,APPROVED
whiskynet.pl,brands.csv,259,Yasato,Distillery brand,Yasato Distillery Co.,Yasato Distillery,Japan,0,https://whiskynet.pl/en/brands/yasato,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,260,Yoichi,Distillery brand,Nikka Whisky Distilling Co Ltd,Yoichi Distillery,Japan,0,https://whiskynet.pl/en/brands/yoichi,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,261,Yoshida Denzai,Distillery brand,Yoshida Denzai Kogyo,Yoshida Denzai Distillery,Japan,0,https://whiskynet.pl/en/brands/yoshida-denzai,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,262,Yushan,Official brand,TTL,—,Taiwan,1,https://whiskynet.pl/en/brands/yushan,NEW,,1.0,MANUAL_REVIEW
whiskynet.pl,brands.csv,263,Yuza,Distillery brand,"Kinryu Co., Ltd.",Yuza Distillery,Japan,0,https://whiskynet.pl/en/brands/yuza,NEW,,1.0,MANUAL_REVIEW
