whisky_id,field,column,previous_value,new_value,confidence,source,citation_id,applied,reason
27867c46-80ff-5d2f-8543-40156990ab2c,region,region,,Speyside,0.95,smws,CIT_4120e5a84572aa08cabfb0c6237ef23564f3498e5b78b9f3adda78ce193f9083,1,null_fill_applied
284d4f4f-2ba6-5bca-ac91-9cee292eace6,region,region,,Islay,0.95,smws,CIT_80e075f1b49f011b13453ec56289e27a7464978d8c84b30c1402a3496134dc7e,1,null_fill_applied
2880ac31-0882-5907-895a-677c3a693df0,region,region,,Speyside,0.95,smws,CIT_1489ac1bf6ed4ca58639cd6688aaf41037542d756cc06d0cacf3fd7011b635b8,1,null_fill_applied
28991b99-efbe-5455-a719-85300fe54ce1,region,region,,Speyside,0.95,smws,CIT_8da82c27ecb9a98db893ecac9316a0123f7aa9290e486f3cdde94904a7824394,1,null_fill_applied
2925e03e-0de8-52c4-bee4-58345c070f0f,region,region,,Speyside,0.95,smws,CIT_57d2fbfca98ec15579e0b6a67bc812f6a24e034834ba517bf21cecb1ad65ab20,1,null_fill_applied
296c029e-4113-5088-991a-02682c7f36dd,region,region,,Speyside,0.95,smws,CIT_05d2c4da992a941c0c303e7cf3e63be3ce7fa0862e8280052100ed73f2d6449a,1,null_fill_applied
2b9e88ea-4e1d-5c0e-80bf-67b9c3821999,region,region,,Speyside,0.95,smws,CIT_b1dad68069ee33d4c592a9484342d7a70fa2e4cc2f4e59e3e9049a3152f6cafb,1,null_fill_applied
2ba5665a-cbc8-5e37-a862-f2bdcd6e1c7f,region,region,,Speyside,0.95,smws,CIT_eafa4ed18faea0cb475329d144c9b1938ff8a9969cc726052c9cc65d6cbd5c45,1,null_fill_applied
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,region,region,,Islay,0.95,smws,CIT_ced13d2f15d4095a467691272cd7882de2136c41ac43b25e16e0b7643a24671c,1,null_fill_applied
2d1a7d56-7403-5197-b847-040b51e6008e,region,region,,Highland,0.95,smws,CIT_e2121502dc080bbdfe20b52ebd4262de50e61e39abe9f131badc814031ea23d7,1,null_fill_applied
2e8dc7db-7fb6-5efc-898f-4dcf24d7fc7a,region,region,,Speyside,0.95,smws,CIT_b5bdc2f3a187468dca00c0badd7bfdb81b61f8bf6b151fd3e4de8104d7d99050,1,null_fill_applied
2e954436-5611-52fc-a7aa-68ae5303ce3d,region,region,,Speyside,0.95,smws,CIT_620bcbb603c6330e2ebe34e2f70a50881140128f880652630a0514bf9a549429,1,null_fill_applied
2f4512ac-949a-5ad7-831f-6e4184db6bc5,region,region,,Speyside,0.95,smws,CIT_f444f3644964f1ae25b849e99fcee2851a8c0bf365d65f79e0d6c7922391074f,1,null_fill_applied
