id,source,file_name,cask_no,distillery,product_name,age,abv,region,cask_type,flavour_profile,tasting_notes_raw,extraction_confidence,review_status
21,SMWS USA,001.84.pdf,1.84,Glenfarclas,Liquid Christmas Cake,32,62.3,,Sherry Butt,,"""Liquid Christmas Cake""
These old whiskies from the first distillery we
ever bottled, near Ballindalloch and still family
owned, never cease to amaze us. Drawn from
a sherry butt, the 
perb; madeira-rich, with henna lights. The un-
reduced nose is of mulled wine (dried fruits,
crystallized orange-peel, cinnamon etc.) and
Russian toffees, with light and somewhat ex-
otic wood-notes. With water it becomes tarry,
with some coffee grounds and struck matches.
The latter come through in the taste--which is
rich, smooth and creamy; sweet with a bitter-
ish finish and a slightly burnt flavour overall.
A great malt from a great cask.",0.95,pending_review
22,SMWS USA,002.49.pdf,2.49,The Glenlivet,American Cream Soda and Burnt Orange,13,59.7,,,,"""American Cream Soda and Burnt Orange""
Robert Louis Stevenson called this
(along with two other malts) `The King
of Drinks'. Certainly its fame was such
that it gave its name to a whole appella-
tion and was the first widely known
malt. The hogshead it has been drawn
from has given the whisky a good deep
amber 
After some initial prickle, the nose mel-
lows and presents rum and raisin ice
cream and American cream soda, and
after a while an interesting resinous
aroma. At this stage the flavour is of
burnt orange peel � as if a blow torch
had been taken to an orange. This im-
pression is transferred to the nose when
water is added; the vanilla ice cream
remains, joined now by butterscotch.
The flavour is of barley sugar to start,
then drying to a medium length and
slightly acidic finish. A pleasant, quaff-
able dram.",0.9,pending_review
23,SMWS USA,002.54.pdf,2.54,The Glenlivet,"Sweet, Like Peppered Honey",16,59.1,,Refill Butt,,"""Sweet, Like Peppered Honey""
From the distillery which once gave its
name to ""the longest glen in Scotland""
and to an appellation. The spirit is a
dark straw 
quite unusual for a whisky from this
distillery. It shows bubbles and legs in
the glass, always a good sign. The nose,
though heavily sherried is quite sharp
until tamed by the water, when it be-
comes quite light and as complex as we
have come to expect of this, one of the
greatest malts. Be sparing of the water,
though, for exceptionally, this malt
should be taken fairly strong. With
time, it reveals itself: fruit and flowers
in many varieties. The taste is sweet,
like peppered honey, which continues in
a long warm finish.",0.95,pending_review
24,SMWS USA,002.59.pdf,2.59,The Glenlivet,A Cello in the Orchestra of Malts,16,57.5,Highland,Refill Butt,,"""A Cello in the Orchestra of Malts""
George Smith built the distillery here at
Upper Drumin farm in 1824. This was
replaced at nearby Minmore in 1859. A
-
mon gold 
of syrup, sherry, nut oil and cured pipe
tobacco. Water produces a suggestion
of sherry and definite Fruit and Nut
chocolate bars. The palate finds trail
mix and the body is sweet and fiery
with a Grappa-like aftertaste. Reduced
it remains sweet but warm and relax-
ing, with a mildly dry finish. This dram
is richly rounded and best given time to
develop. A cello in the orchestra of
malts.",1.0,pending_review
25,SMWS USA,002.66.pdf,2.66,The Glenlivet,A Department Store,29,57.9,Highlands,Refill Hogshead,,"""A Department Store'
Sometimes known as Smith's and once de-
scribed as `a synonym for the real stuff, this
whisky is from the uppermost reaches of
Speyside. This has a golden apricot blush
from a . The nose is a shop
with the first department selling paint, putty
and plastic. Then there is a confectioner
with butter tablet and toffee and finally a
fruiterer with peaches, apricots, papaya,
and mango. Watered, the nose is like Swiss
muesli or trail mix (pineapple and coconut).
The neat taste has burnt sugar, cola cubes
and coconut ice, while reduced it is bitter-
sweet and heart warming.",1.0,pending_review
26,SMWS USA,002.70.pdf,2.70,The Glenlivet,Ovaltine in a Wellington Boot,21,56.1,Highlands,,,"""Ovaltine in a Wellington Boot""
In the mountainous badlands of Morayshire,
this was the first distillery to become a legal
entity (1824). This dram is the 
panned gold from a . The neat
nose is rich and fruity, with lime juice, fruit
gums and plum sauce. It also has toffee, Ger-
man chocolate cake and dark chocolate tan-
gerine creams. Yet, there is a fresh, zesty ef-
fect in the mouth. With water, there are dry,
zesty orange peel and creamy nutty charac-
teristics, while the taste becomes more sher-
bety. The reduced nose has tablet, white pep-
per, Chocolate Oranges and Ovaltine in a
welly boot.",0.95,pending_review
27,SMWS USA,002.75.pdf,2.75,The Glenlivet,"Highlands, Speyside (Livet)",16,57.1,Speyside,Refill Hogshead,,"Highlands, Speyside (Livet)
Enchanting cascades of exotic fruits
Endless cascades of exotic fruits enchanted our
noses � pineapple cubes and cherry lips, kiwi,
guava and figs. In its complexity, it also sug-
gested tobacco leaf, sandalwood, coconut, honey,
fudge, dried lavender and cr�me anglaise; abso-
lutely delightful. The palate had all that and
more; the Lady-chef waxed lyrical about
home-made cinder toffee while the Whisky-
scientist enthused about French clafouti (a
cherry flan). With water the nose remained
heavenly and balanced with orange fondant, va-
nilla, woody spices and apple snow. The palate
continued sweetly delicious, exotic and rather
heady. The distillery was founded in 1824 by a
guy who carried two pistols.",1.0,pending_review
28,SMWS USA,002.77.pdf,2.77,The Glenlivet,"Highlands, Speyside (Livet)",21,57.7,Speyside,Refill Butt,,"Highlands, Speyside (Livet)
 Three genies in one bottle
 The first aroma genie to appear was a bright,
 young thing, wearing nail polish; the second
 an exotic fruity dancer; the third a mature
 street vendor, selling toffee apples, nougat,
 tobacco and Peshwari nan bread. The re-
 duced nose then offered green apple, dry
 grass, pepper and fudge. We found the palate
 sweetly rewarding, lively and fruity (boiled
 sweets, chocolate limes, green and yellow
 Opal Fruits); the warm finish suggested pep-
 percorns and orange or grapefruit zest. The re-
 duced palate had hard fondant fruitiness and
 an extra strong mint after-effect; our verdict
 � absolutely charming. The distillery is near
 the famous packhorse bridge.",1.0,pending_review
29,SMWS USA,002.81.pdf,2.81,The Glenlivet,"Highlands, Speyside (Livet)",15,59.9,Speyside,First-Fill Sherry Butt,,"Highlands, Speyside (Livet)
 Black tea in a greenhouse
Rich and heady aromas of butterscotch,
molasses and rum soaked raisins together
with cr�me brulee, orange oil, geraniums
and a greenhouse on a warm day. Toffee
sweetness was balanced by balsamic and
a trace of struck matches. The taste was
hot, there was liquorice, black tea tannins,
toffee and black pepper. Water improved it
offering smooth buttery toffee, tobacco
and balsamic. The palate was still tannic
(like chewing sticks) with brown sauce bit-
terness but also sweet with vanilla, butter-
scotch and caramel. This Speyside distill-
ery is close to the famous pack horse
bridge.",1.0,pending_review
30,SMWS USA,002.83.pdf,2.83,The Glenlivet,"Speyside, Spey",19,55.2,Speyside,Refill Hogshead,,"Speyside, Spey
 Intense explosion of taste
The nose really grabbed our interest � so
much in it � summer fruits, cherry Bakewell,
apple and berry tea; maple syrup, toffee and
Fry's Turkish Delight; mulled wine, tobacco
and old books. The palate was intense, sharp
and tickly � tutti-frutti bubble-gum and apple
sours crashed into darker, spicy flavours (chilli
pepper, gingerbread, treacle scones) result-
ing in an explosion of taste. The reduced nose �
simply amazing � fruit-punch, black-jacks, tea
chests, foamy shrimp sweets, wax and shoe pol-
ish. The palate lost some intensity but re-
tained the sweet complexity of toffee apples,
cinnamon, blackcurrant and lavender honey.
The distillery was once protected by two
pistols!",1.0,pending_review
