pattern_matched,filename,full_path,row_count,columns,size_bytes
*.zip,AmpliTube_5_10_5.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\AmpliTube 5\AmpliTube_5_10_5.zip,,,3197056031
*.zip,AmpliTube_5_10_9.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\AmpliTube 5\AmpliTube_5_10_9.zip,,,3436326619
*.zip,custom_shop_2.0.0.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\Custom Shop\custom_shop_2.0.0.zip,,,76832189
*.zip,ik_product_manager_1.1.11.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\IK Product Manager\ik_product_manager_1.1.11.zip,,,69703820
*.zip,ik_product_manager_1.1.12.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\IK Product Manager\ik_product_manager_1.1.12.zip,,,69688028
*.zip,ik_product_manager_1.1.7.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\IK Product Manager\ik_product_manager_1.1.7.zip,,,69711252
*.zip,ik_product_manager_1.1.8.zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\IK Product Manager\ik_product_manager_1.1.8.zip,,,69712156
*.zip,Install_TONEX_(1.10.5).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.10.5).zip,,,3080102551
*.zip,Install_TONEX_(1.10.6).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.10.6).zip,,,3080701201
*.zip,Install_TONEX_(1.11.1).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.11.1).zip,,,3097986078
*.zip,Install_TONEX_(1.8.1).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.8.1).zip,,,2060248441
*.zip,Install_TONEX_(1.8.2).zip,C:\Users\eltun\Documents\IK Multimedia\IK Product Manager\TONEX\Install_TONEX_(1.8.2).zip,,,2063150718
