queue_id,entity_key,field_name,proposed_value,confidence,source,status,classification
KB_878ae93f01164e04a61b,fe365565-a937-51a4-9791-b42204bc9e83,age,11.0,0.95,smws,pending,NO_CHANGE
KB_0d2bd2697c3147fe9a34,fe365565-a937-51a4-9791-b42204bc9e83,abv,58.6,0.95,smws,pending,NO_CHANGE
KB_668e70f1524b41e18a31,fe365565-a937-51a4-9791-b42204bc9e83,region,Speyside,0.95,smws,pending,NO_CHANGE
KB_fc4ca193fb2f4f159d3b,39e4c233-0ec9-5d42-9fbe-bf734cee666d,age,15.0,0.95,smws,pending,NO_CHANGE
KB_4500b863d6084434ae56,39e4c233-0ec9-5d42-9fbe-bf734cee666d,abv,61.7,0.95,smws,pending,NO_CHANGE
KB_09999a5b4f2f42e0a5c9,7df43210-70eb-5556-8f54-096fa1ae296f,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_a08c0a50ac1b48c98941,7df43210-70eb-5556-8f54-096fa1ae296f,age,5.0,0.95,smws,pending,NO_CHANGE
KB_ea5b5ff5f82d4da5a955,7df43210-70eb-5556-8f54-096fa1ae296f,abv,56.2,0.95,smws,pending,NO_CHANGE
KB_0db8b0d32a5e4ac782d9,a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,cask_type,butt;refill,0.95,smws,pending,NO_CHANGE
KB_7ff3ae0535724a9095d8,a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,age,10.0,0.95,smws,pending,NO_CHANGE
KB_f61aa6a2ad2c460899d2,a2dfb32f-4c31-5e2a-bde8-8a884168c3c2,abv,55.6,0.95,smws,pending,NO_CHANGE
KB_440b441922c34ef5bfcb,90925ce2-f26c-59de-adb7-e323c2c1a5f7,age,10.0,0.95,smws,pending,NO_CHANGE
KB_aae2d7de401d45efa0e1,90925ce2-f26c-59de-adb7-e323c2c1a5f7,abv,56.4,0.95,smws,pending,NO_CHANGE
KB_bd1ddf4c35b9405a987f,afb23bc7-b657-52da-8f88-85bad84dcd45,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_f47164914f8d47dfb30a,afb23bc7-b657-52da-8f88-85bad84dcd45,age,21.0,0.95,smws,pending,NO_CHANGE
KB_4874c04264604701bb0f,afb23bc7-b657-52da-8f88-85bad84dcd45,abv,50.8,0.95,smws,pending,NO_CHANGE
KB_c81a0efb101a442db440,afb23bc7-b657-52da-8f88-85bad84dcd45,region,Islay,0.95,smws,pending,NO_CHANGE
KB_ca2a1a4680cf44fe8e15,a2056777-c982-5377-ad51-7a60dfb52d20,cask_type,first-fill,0.95,smws,pending,NO_CHANGE
KB_26ad4bc9c2dd46aeba93,a2056777-c982-5377-ad51-7a60dfb52d20,age,9.0,0.95,smws,pending,NO_CHANGE
KB_6981f9f12f5f437f9b9b,a2056777-c982-5377-ad51-7a60dfb52d20,abv,58.0,0.95,smws,pending,NO_CHANGE
KB_ec32f1f3c59544379114,a2056777-c982-5377-ad51-7a60dfb52d20,region,Islay,0.95,smws,pending,NO_CHANGE
KB_b9f2cb04945c45e7b060,2d17e8d5-fac6-5d15-83c0-ae17f92e402f,cask_type,butt;sherry butt,0.95,smws,pending,NO_CHANGE
KB_a3ffb43b04e148e8bb09,2d17e8d5-fac6-5d15-83c0-ae17f92e402f,age,11.0,0.95,smws,pending,NO_CHANGE
KB_6d40233c472d455eb38e,2d17e8d5-fac6-5d15-83c0-ae17f92e402f,abv,58.4,0.95,smws,pending,NO_CHANGE
KB_9fe64211e2da4169bb73,2d17e8d5-fac6-5d15-83c0-ae17f92e402f,region,Islay,0.95,smws,pending,NO_CHANGE
KB_742e643e72874a3ab10a,49cb6612-1208-5a5f-b429-17b5c8af8d5c,cask_type,butt;refill,0.95,smws,pending,NO_CHANGE
KB_cd48f95a077745dba0b1,49cb6612-1208-5a5f-b429-17b5c8af8d5c,age,16.0,0.95,smws,pending,NO_CHANGE
KB_633bb35ef2b44c778a37,49cb6612-1208-5a5f-b429-17b5c8af8d5c,abv,56.6,0.95,smws,pending,NO_CHANGE
KB_d3e05fa9e6c3428cb2ab,49cb6612-1208-5a5f-b429-17b5c8af8d5c,region,Islay,0.95,smws,pending,NO_CHANGE
KB_c09b26f0a79f4e088065,bb387b06-8ae8-5b78-adad-082101031288,cask_type,butt;sherry butt,0.95,smws,pending,NO_CHANGE
KB_eb6dd3e0be2544c78f98,bb387b06-8ae8-5b78-adad-082101031288,age,9.0,0.95,smws,pending,NO_CHANGE
KB_2f8c2e5b5e854c5abb08,bb387b06-8ae8-5b78-adad-082101031288,abv,59.1,0.95,smws,pending,NO_CHANGE
KB_679ac1f3b1cd4b57a05d,bb387b06-8ae8-5b78-adad-082101031288,region,Islay,0.95,smws,pending,NO_CHANGE
KB_67efd6f1088947df84f5,cab6a49d-1102-5a3c-a3d5-42504490debd,cask_type,butt;sherry butt,0.95,smws,pending,NO_CHANGE
KB_0563affdf07c46f8951f,cab6a49d-1102-5a3c-a3d5-42504490debd,age,23.0,0.95,smws,pending,NO_CHANGE
KB_1c802f69bf3c4982a3e0,cab6a49d-1102-5a3c-a3d5-42504490debd,abv,48.4,0.95,smws,pending,NO_CHANGE
KB_9da0897a43f44e158c7f,cab6a49d-1102-5a3c-a3d5-42504490debd,region,Islay,0.95,smws,pending,NO_CHANGE
KB_20b0a216b754465a98a5,40519583-3c03-51c4-8259-a16b15634056,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_b2b92392a12c47d39e43,40519583-3c03-51c4-8259-a16b15634056,age,15.0,0.95,smws,pending,NO_CHANGE
KB_6fc5fd5429d045baa856,40519583-3c03-51c4-8259-a16b15634056,abv,61.2,0.95,smws,pending,NO_CHANGE
KB_7192a42845f04286b2a0,40519583-3c03-51c4-8259-a16b15634056,region,Islay,0.95,smws,pending,NO_CHANGE
KB_feba31505b324a799868,a73fc26d-3117-5d0a-9e49-a8d7de9941d9,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_85c2e6eb475a462e9e99,a73fc26d-3117-5d0a-9e49-a8d7de9941d9,age,15.0,0.95,smws,pending,NO_CHANGE
KB_77cd1d0adb2347e59cd7,a73fc26d-3117-5d0a-9e49-a8d7de9941d9,abv,60.5,0.95,smws,pending,NO_CHANGE
KB_b64b2e4b882a412c9fb6,a73fc26d-3117-5d0a-9e49-a8d7de9941d9,region,Islay,0.95,smws,pending,NO_CHANGE
KB_378e2d9375b54869a1f0,a1b32118-e956-521b-8a60-d5dc187b5f49,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_c38147ce66134657933e,a1b32118-e956-521b-8a60-d5dc187b5f49,age,21.0,0.95,smws,pending,NO_CHANGE
KB_897acf0880e14564a372,a1b32118-e956-521b-8a60-d5dc187b5f49,abv,46.4,0.95,smws,pending,NO_CHANGE
KB_29885c9a730743da95d8,a1b32118-e956-521b-8a60-d5dc187b5f49,region,Islay,0.95,smws,pending,NO_CHANGE
KB_8de26046e2bf447fbc5f,417aac1b-cbd2-5e52-8330-ca1f31547bcd,cask_type,hogshead;refill,0.95,smws,pending,NO_CHANGE
KB_baaaebca5793459ba6cd,417aac1b-cbd2-5e52-8330-ca1f31547bcd,age,15.0,0.95,smws,pending,NO_CHANGE
KB_7578518962424f898ddc,417aac1b-cbd2-5e52-8330-ca1f31547bcd,abv,61.0,0.95,smws,pending,NO_CHANGE
