whisky_id,master_name,malt_list_name,historical_menu_price,currency,pour_size_ml,price_context,source_name,source_file,source_confidence,match_score,risk_level,import_recommendation
W000216,mortlach 16yo (f&f),Mortlach,8,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000216,mortlach 16yo (f&f),Mortlach,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000229,oban distillers edition (all vintages),Oban,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000431,old pulteney 25yo,Old Pulteney,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000431,old pulteney 25yo,Old Pulteney,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000431,old pulteney 25yo,Old Pulteney,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000431,old pulteney 25yo,Old Pulteney,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000170,royal brackla 21yo,Royal Brackla,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000170,royal brackla 21yo,Royal Brackla,12,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000170,royal brackla 21yo,Royal Brackla,10,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000170,royal brackla 21yo,Royal Brackla,12,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000374,game of thrones house baratheon royal lochnagar 12 ans,Royal Lochnagar,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000617,scapa 16yo,Scapa,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000064,sheep dip old hebridean 1990 blended malt,Sheep Dip,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000321,singleton of glen ord 18yo,Singleton,20,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000321,singleton of glen ord 18yo,Singleton,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000321,singleton of glen ord 18yo,Singleton,20,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000321,singleton of glen ord 18yo,Singleton,6,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000076,springbank 21yo,Springbank,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000076,springbank 21yo,Springbank,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000076,springbank 21yo,Springbank,7,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
W000076,springbank 21yo,Springbank,9,GBP,35,historical bar menu pour price,The Malt List / The Canny Man's,The_Malt_List.pdf,High (Audited),100.0,HIGH,candidate_only_not_current_price
