file_name,smws_code,distillery_code,expression_name,age,vintage,bottling_year,abv,cask_type,region,outturn,price
039.57.pdf,39.57,39,Urbane and Demure,23,Oct '82 Alc,,55.5,,Highlands / District,,
039.71.pdf,39.71,39,"Ah yes,",26,,,56.4,,,,
039.75.pdf,39.75,39,,13,,,58.5,,,,
039.81.pdf,39.81,39,"honeysuckle by a
    garden gate",19,,,45.9,,,,
039.83.pdf,39.83,39,,28,,,53.9,,,,
039.84.pdf,39.84,39,,21,,,48.0,,,,
039.89.pdf,39.89,39,,22,,,46.7,,,,
039.92.pdf,39.92,39,,23,,,49.5,,,,
039.93.pdf,39.93,39,,29,,,57.9,,,,
039.94.pdf,39.94,39,,23,,,44.7,,,,
039.95.pdf,39.95,39,,9,,,61.2,,,,
039.98.pdf,39.98,39,,23,,,59.1,,,,
039.99.pdf,39.99,39,,23,,,58.9,,,,
041.43.pdf,41.43,41,,28,,,55.3,,,,
041.46.pdf,41.46,41,,7,,,62.5,,,,
041.49.pdf,41.49,41,,30,,,50.9,,,,
041.50.pdf,41.50,41,,30,,,53.5,,,,
041.51.pdf,41.51,41,,21,,,57.1,,,,
041.54.pdf,41.54,41,,8,,,58.7,,,,
041.57.pdf,41.57,41,,24,,,46.4,,,,
041.58.pdf,41.58,41,,10,,,61.5,,,,
041.61.pdf,41.61,41,Everything I look for in a dram!,33,,,51.5,,,,
041.66.pdf,41.66,41,,11,,,60.3,,,,
041.67.pdf,41.67,41,,30,,,53.7,,,,
041.71.pdf,41.71,41,,11,,,59.5,,,,
042.10.pdf,42.10,42,,7,,,62.7,,,,
042.16.pdf,42.16,42,W H AT I T SAYS O N T H E T I N,9,,,,,,,
042.17.pdf,42.17,42,,9,,,60.9,,,,
042.19.pdf,42.19,42,,9,,,58.2,,,,
042.20.pdf,42.20,42,,20,,,61.9,,,,105
043.15.pdf,43.15,43,An Old Sea-Dog,26,Nov,,56.1,,Islay / District,,
044.27.pdf,44.27,44,Breathless!,24,Mar,,58.1,,Highlands / District,,
044.41.pdf,44.41,44,chunky mouthful,15,,,58.0,,,,
044.43.pdf,44.43,44,,15,,,59.4,,,,
044.48.pdf,44.48,44,,11,,,60.6,,,,
044.49.pdf,44.49,44,,11,,,58.7,,,,
044.51.pdf,44.51,44,,22,,,53.7,,,,
044.55.pdf,44.55,44,,22,,,52.9,,,,
044.58.pdf,44.58,44,,13,,,59.1,,,,
044.59.pdf,44.59,44,,23,,,51.4,,,,
044.60.pdf,44.60,44,,14,,,56.9,,,,
044.63.pdf,44.63,44,,15,,,55.4,,,,
044.65.pdf,44.65,44,,24,,,52.4,,,,
044.67.pdf,44.67,44,,25,,,52.2,,,,220
045.15.pdf,045.15,045,"Maraschino Cherries, Toffee
                and Fresh Butter",27,Aug,,50.6,,,,
046.12.pdf,046.12,046,Prosutto and Leather Bags,27,July '78 Alc,,55.1,,,,
046.16.pdf,46.16,46,Ginger and Spice,15,Sept,,52.2,,"Highlands
          District",,
046.19.pdf,46.19,46,,16,,,52.2,,,,
046.21.pdf,46.21,46,,11,,,60.9,,,,
046.23.pdf,46.23,46,,12,,,52.6,,,,
046.27.pdf,46.27,46,,12,,,60.5,,,,
046.29.pdf,46.29,46,,14,,,59.1,,,,
046.30.pdf,46.30,46,,14,,,58.6,,,,
046.31.pdf,46.31,46,,22,,,54.2,,,,
048.08.pdf,048.08,048,Fantastic Evolution,17,April '89 Alc,,55.8,,,,
048.17.pdf,48.17,48,,9,,,60.8,,,,
048.20.pdf,48.20,48,,10,,,60.5,,,,
048.24.pdf,48.24,48,,22,,,49.3,,,,
048.26.pdf,48.26,48,,23,,,50.5,,,,
048.29.pdf,48.29,48,,12,,,61.0,,,,
048.34.pdf,48.34,48,,9,,,63.3,,,,
048.37.pdf,48.37,48,,9,,,58.6,,,,
048.41.pdf,48.41,48,,25,,,48.3,,,,
048.42.pdf,48.42,48,,10,,,56.7,,,,
048.43.pdf,48.43,48,,12,,,55.5,,,,
048.46.pdf,48.46,48,,12,,,57.4,,,,
048.50.pdf,48.50,48,,13,,,56.9,,,,130
048.54.pdf,48.54,48,Delicious!,12,,,,,,,
049.10.pdf,49.10,49,A Royal Aperitif,26,Sept,,59.1,,"Lowlands
            District",,
050.23.pdf,050.23,050,Spring Honey,14,June '92 Alc,,56.3,,,,
050.35.pdf,50.35,50,"Caramel, Chocolate and Coffee",17,July '90 Alc,,56.2,,Lowlands / District,,
050.40.pdf,50.40,50,,19,,,58.5,,,,
050.42.pdf,50.42,50,,18,,,56.9,,,,
050.45.pdf,50.45,50,,20,,,49.2,,,,
050.46.pdf,50.46,50,,21,,,54.6,,,,
050.49.pdf,50.49,50,,21,,,55.8,,,,
050.51.pdf,50.51,50,,22,,,55.8,,,,
050.56.pdf,50.56,50,,23,,,60.3,,,,
050.64.pdf,50.64,50,,25,,,54.5,,,,
050.66.pdf,50.66,50,,24,,,59.5,,,,
050.67.pdf,50.67,50,,25,,,56.2,,,,
050.70.pdf,50.70,50,,25,,,54.2,,,,
050.80.pdf,50.80,50,,24,,,59.7,,,,225
052.14.pdf,052.14,052,Wet Bladderwack,11,Dec,,62.7,,,,
052.20.pdf,52.20,52,,13,,,64.7,,,,
053 23.pdf,53.23,53,It Comes From the Sea,8,Nov,,59.5,,Islay District,,
053.108.pdf,53.108,53,Magic,10,Mar '96 Alc,,59.9,,Islay / District,,
053.109.pdf,53.109,53,Poetry and Moonlight,15,Aug,,54.5,,Islay / District,,
053.111.pdf,53.111,53,Smoke and Soot with Liquorice Root,15,Aug,,55.2,,Islay / District,,
053.133.pdf,53.133,53,,19,,,55.2,,,,
053.138.pdf,53.138,53,,17,,,55.2,,,,
053.139.pdf,53.139,53,,27,,,55.2,,,,
053.144.pdf,53.144,53,Buckets of tar and brine,20,,,56.4,,,,
053.147.pdf,53.147,53,,10,,,66.6,,,,
053.151.pdf,53.151,53,,10,,,58.0,,,,
053.153.pdf,53.153,53,,14,,,56.5,,,,
053.154.pdf,53.154,53,,17,,,59.8,,,,
053.157.pdf,53.157,53,,10,,,58.0,,,,
053.158.pdf,53.158,53,,15,,,58.6,,,,
053.160.pdf,53.160,53,,15,,,58.1,,,,
053.162.pdf,53.162,53,,16,,,56.5,,,,
053.163.pdf,53.163,53,,15,,,57.5,,,,
053.165.pdf,53.165,53,,16,,,56.4,,,,
053.167.pdf,53.167,53,,15,,,58.2,,,,
053.172.pdf,53.172,53,,21,,,52.2,,,,
053.173.pdf,53.173,53,,16,,,59.8,,,,
053.182.pdf,53.182,53,,15,,,57.2,,,,
053.184.pdf,53.184,53,,19,,,60.4,,,,
053.186.pdf,53.186,53,,23,,,54.2,,,,
053.187.pdf,53.187,53,,22,,,51.2,,,,
053.188.pdf,53.188,53,,21,,,53.3,,,,
053.190.pdf,53.190,53,,17,,,56.8,,,,
053.191.pdf,53.191,53,,16,,,56.3,,,,
053.192.pdf,53.192,53,,23,,,55.9,,,,
053.194.pdf,53.194,53,,17,,,60.1,,,,
053.197.pdf,53.197,53,,18,,,57.4,,,,
053.200.pdf,53.200,53,,18,,,59.8,,,,
053.205.pdf,53.205,53,,22,,,52.9,,,,
053.206.pdf,53.206,53,,18,,,56.6,,,,
053.207.pdf,53.207,53,,20,,,58.7,,,,
053.210.pdf,53.210,53,,24,,,53.3,,,,
053.211.pdf,53.211,53,,22,,,54.8,,,,
053.216.pdf,53.216,53,,21,,,60.6,,,,
053.218.pdf,53.218,53,,14,,,64.4,,,,
053.222.pdf,53.222,53,,13,,,58.4,,,,
053.226.pdf,53.226,53,,15,,,63.5,,,,
053.231.pdf,53.231,53,super spicy,19,,,59.3,,,,
053.233.pdf,53.233,53,,19,,,60.0,,,,
053.236.pdf,53.236,53,,16,,,64.1,,,,165
053.75.pdf,053.75,053,An Attack on The Taste Buds,11,Aug,,61.5,,,,
053.88.pdf,053.88,053,The Peat Genie,11,Oct,,59.4,,,,
053.91.pdf,053.91,053,Pork Crackling in an Old Library,25,Jan,,59.1,,,,
053.95.pdf,053.95,053,Velvet Sweetness,25,Jan,,59.3,,,,
054.22.pdf,054.22,054,A Bag of Tricks,18,Oct,,55.1,,,,
054.28.pdf,54.28,54,"like biting a nurse wear-
ing rubber gloves and apron",13,,,60.3,,,,
054.29.pdf,54.29,54,,9,,,57.7,,,,
054.31.pdf,54.31,54,,11,,,60.2,,,,
054.34.pdf,54.34,54,,9,,,59.8,,,,
054.35.pdf,54.35,54,,17,,,55.1,,,,
054.37.pdf,54.37,54,,9,,,61.5,,,,100
054.42.pdf,54.42,54,,9,,,59.1,,,,100
055.19.pdf,55.19,55,,10,,,60.0,,,,
055.20.pdf,55.20,55,,12,,,58.8,,,,
055.21.pdf,55.21,55,,12,,,59.1,,,,
055.23.pdf,55.23,55,,20,,,55.1,,,,
055.26.pdf,55.26,55,,14,,,57.3,,,,
055.28.pdf,55.28,55,,14,,,,,,,
055.31.pdf,55.31,55,,17,,,58.3,,,,150
058.15.pdf,58.15,58,,25,,,,,,,
058.17.pdf,58.17,58,"NOT SHAKEN, NOT STIRRED",10,,,,,,,
058.18.pdf,58.18,58,,10,,,,,,,
058.8.pdf,058.8,058,Sid Viscous,28,June '77 Alc,,49.3,,,,
059.21.pdf,59.21,59,,17,,,59.0,,,,
059.26.pdf,059.26,059,"Sweet, Buttery and Malty",20,April '83 Alc,,58.9,,,,
059.29.pdf,059.29,059,Honey and Lemons,20,Nov,,53.9,,,,
059.32.pdf,059.32,059,A Mild Mannered Chameleon,21,Nov,,54.8,,,,
059.39.pdf,59.39,59,gateway to Narnia!,16,,,59.7,,,,
059.40.pdf,59.40,59,,27,,,55.0,,,,
059.41.pdf,59.41,59,,29,,,45.7,,,,
059.48.pdf,59.48,59,,30,,,51.2,,,,
059.49.pdf,59.49,59,,30,,,49.2,,,,
059.51.pdf,59.51,59,,30,,,51.5,,,,
062.13.pdf,62.13,62,"Prunes, Coffee Beans and Almonds",24,May,,59.3,,Highland / Western,,
062.16.pdf,62.16,62,A Classic,26,May,,59.6,,"Highlands
          District",,
062.8.pdf,062.8,062,Licorice and Fruit,23,Nov,,59.9,,,,
