smws_code,smoky,peaty,sherry,fruity,spicy,sweet,rich
7.77,0.0,0.0,0.0,1.0,0.4,0.2,1.0
7.80,0.0,0.0,0.0,1.0,0.0,0.4,0.8
7.85,0.4,0.0,0.0,0.0,0.0,0.6,1.0
7.89,0.2,0.0,0.0,1.0,0.4,0.6,0.4
7.93,0.0,0.0,0.0,0.6,0.6,0.6,1.0
7.94,0.0,0.0,0.0,0.4,0.0,0.2,0.2
7.97,0.0,0.0,0.0,0.2,1.0,0.8,1.0
7.98,0.2,0.0,0.0,0.8,0.0,1.0,1.0
008.35,0.0,0.0,0.0,0.2,0.0,0.4,0.8
8.42,0.4,0.0,0.0,0.6,0.2,0.0,0.0
009.35,0.2,0.0,0.0,0.6,0.0,1.0,0.2
9.47,0.0,0.0,0.0,0.0,0.2,0.4,0.0
9.57,0.0,0.0,0.0,0.8,0.4,0.0,0.2
9.59,0.0,0.0,0.2,0.4,0.0,1.0,0.2
9.60,0.4,0.0,0.0,0.2,0.4,0.6,0.2
9.62,0.0,0.0,0.0,0.6,1.0,0.8,0.2
9.66,0.0,0.0,0.0,0.6,0.6,0.4,0.6
9.69,0.4,0.0,0.0,1.0,0.2,0.6,0.0
9.74,0.0,0.0,0.0,0.6,0.6,0.0,0.0
9.76,0.0,0.0,0.0,0.4,0.0,1.0,0.2
9.78,0.0,0.0,0.0,0.0,0.4,1.0,0.8
9.79,0.0,0.2,0.0,0.0,0.6,0.6,0.2
9.84,0.2,0.0,0.0,0.0,0.0,0.0,0.0
10.75,1.0,0.2,0.0,0.0,0.0,0.4,0.0
10.76,0.4,0.0,0.0,0.4,0.0,0.8,0.4
10.77,0.4,0.2,0.0,0.0,0.0,0.2,0.0
10.81,0.2,0.2,0.0,0.2,0.4,1.0,0.4
10.85,0.0,0.0,0.4,0.2,0.0,0.2,0.6
10.87,0.6,0.2,0.0,0.6,0.0,0.6,0.0
10.88,0.0,0.6,0.0,0.2,0.0,0.6,0.2
10.92,0.2,0.4,0.2,0.4,0.0,0.2,0.0
10.99,0.6,0.0,0.0,0.4,0.8,1.0,0.0
100.12,0.0,0.0,0.2,0.6,0.8,0.6,0.0
011.24,0.2,0.6,0.0,0.2,0.0,0.4,0.0
011.27,0.0,0.0,0.0,0.2,0.4,0.8,0.2
013.37,0.0,0.0,0.0,0.6,0.0,0.0,0.0
13.44,0.4,0.0,0.4,0.0,0.4,1.0,0.2
13.47,0.0,0.0,0.0,0.2,0.4,0.8,0.0
16.30,0.8,0.0,0.2,0.0,0.2,1.0,0.4
16.32,0.0,0.0,0.0,0.2,0.0,1.0,0.8
17.32,0.0,0.0,0.0,1.0,0.0,0.6,0.0
17.35,0.0,0.0,0.0,1.0,0.8,0.8,0.0
018.23,0.0,0.0,0.4,0.2,0.2,0.6,0.0
021.22,0.0,0.6,0.0,0.0,0.0,0.4,0.0
21.25,0.0,0.0,0.0,0.0,0.0,0.4,0.0
021.26,0.0,0.0,0.0,0.0,0.0,0.6,0.0
022.10,0.0,0.0,0.0,0.0,0.2,0.0,0.0
22.23,0.6,0.0,0.0,0.2,0.0,0.0,0.0
22.25,0.0,0.0,0.0,0.4,0.2,0.6,0.0
22.28,0.0,0.0,0.0,0.8,0.2,0.6,0.0
22.29,0.0,0.0,0.4,0.0,0.0,0.4,0.0
23.39,0.0,0.0,0.0,0.0,0.2,0.0,0.0
