whisky_id,field,column,existing_value,is_null,is_empty_string,is_whitespace,proposed_value,reason_skipped
247ccbeb-08fe-5417-818f-d8091f1c01f1,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2552a877-8167-5645-9a2f-be7cf6449316,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
2585098f-b06e-5895-89b3-98a27389428b,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
25b3ee7d-bbc4-5ea8-af11-b89e112783be,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
2676fa53-9a48-500b-be55-022e0b89f713,region,region,,0,1,0,Campbeltown,skipped_existing_value_nonnull
26a37f2b-0843-5a2e-a8fe-390288687d8e,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
271312f3-d211-5822-a9f1-eb952a70c92b,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
271d5220-383f-5b8d-b377-8b5e132554b2,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
27867c46-80ff-5d2f-8543-40156990ab2c,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
284d4f4f-2ba6-5bca-ac91-9cee292eace6,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
2880ac31-0882-5907-895a-677c3a693df0,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
28991b99-efbe-5455-a719-85300fe54ce1,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2925e03e-0de8-52c4-bee4-58345c070f0f,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
296c029e-4113-5088-991a-02682c7f36dd,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2b9e88ea-4e1d-5c0e-80bf-67b9c3821999,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2ba5665a-cbc8-5e37-a862-f2bdcd6e1c7f,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2d17e8d5-fac6-5d15-83c0-ae17f92e402f,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
2d1a7d56-7403-5197-b847-040b51e6008e,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
2e8dc7db-7fb6-5efc-898f-4dcf24d7fc7a,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2e954436-5611-52fc-a7aa-68ae5303ce3d,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2f4512ac-949a-5ad7-831f-6e4184db6bc5,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2f459f94-f840-5e81-94f2-609a527e9ae0,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
2f6a5b3d-100b-543c-b800-625f82a41b10,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
30edb3eb-bfa3-5b61-8975-9c01b5fae902,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
325e83db-d4dc-552e-8493-7ffbeeb467b3,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
32be3d9b-413c-5cfc-a053-d8dbab8bcd60,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
32cefab1-c233-5955-a544-77674ac72a58,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
32e0c7c6-2d48-5fae-990a-bfea7fd8cee0,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
338ee651-18bf-5228-8b30-50135e91e0b8,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
33d8c3cd-e69f-5cc4-a5d9-f45f76db41ef,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
34f2f60a-8227-5f1b-b352-0882b09cff3c,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
353b3d23-49a4-5684-a562-91cba32e6018,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
35889486-794e-59a6-959b-d5a1c03bd14a,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3664b0f4-08fe-50d0-85cb-40ea92995cfb,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3762f537-f9cd-5c03-a7de-089b3027e9b4,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
37f64680-31f6-57a9-ba7c-ada049149bf6,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
38037202-7260-5e4c-8573-08b674fa414a,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
385b565a-6903-51c9-bf5c-1e19576e6618,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
39151d65-4237-575e-8aa0-06832ae53e48,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
39507de9-8840-575a-8cfe-228d45578d40,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
39a79eb9-3da4-5893-9a52-2603df1beffa,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
39b08c20-64b4-5898-b4f0-728abaf561c2,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3a013e9d-b96d-5aef-8afb-a8e7a7f7fe8d,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3a3722df-f44d-5007-ac82-7ad965e4d906,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3a42ba7c-6d46-5712-bc9a-a00ac2a96d79,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3a6a46f8-7199-53ac-b73b-70638bd2c2dd,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3b362ac6-c8e3-58a9-9480-ea3bbc64d0cb,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
3b535169-85ca-50a3-bb5e-f3a25d9fbccd,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3c154b07-aca5-59ce-a677-a29b043b961a,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3dcd6ab1-4d7a-5524-beb4-b3dc64037ecd,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
3dd332bd-8e00-50bb-a3a5-69e382ecb5b2,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3e065072-8bc7-5833-84d2-8ef1be27e36c,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3e599b3c-56e3-55e7-878b-9d3ad09344ee,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3e811c2f-4fe1-5cd1-8474-2eeac5fdd9fa,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
3e9da869-4dd8-5129-bbb2-bc20342f123a,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
3f0ae34f-aa07-5a8d-b2b8-a75bd7d0dc04,region,region,,0,1,0,Highland,skipped_existing_value_nonnull
40519583-3c03-51c4-8259-a16b15634056,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
411557a7-174a-56a5-9ff7-a4df831c49e5,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
41299eec-9a5b-53bc-8c94-52ed6139f017,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
415cab1e-628e-541c-9c9d-a891f95a255b,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
417aac1b-cbd2-5e52-8330-ca1f31547bcd,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
418cece7-9238-55c0-80fc-cf842e4204c7,region,region,,0,1,0,Islay,skipped_existing_value_nonnull
41eb0894-7a23-5007-9be6-559e8f495df4,region,region,,0,1,0,Speyside,skipped_existing_value_nonnull
