vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(0.0, 0.25, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W002005,W002024,W002112,W002378,W002480,W002848,W003155",Tomintoul 12 Year Old Kedem Port Cask-finished | Knob Creek 15 Year Old Kentucky Straight | Cedar Ridge The Quintessential American Single Malt (batch 001)
"(0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W002007,W002115,W002910,W002914,W002925,W003033,W003041",Tomintoul 21 Year Old | Stranahan’s Blue Peak American Single Malt | Old Forester 2013 Birthday Bourbon (2025 Release)
"(0.0, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W002035,W002046,W002052,W002072,W002413,W002822,W003121",Syndicate 58/6 12 Year Old | Larceny Barrel Proof Kentucky Straight (batch b520) | The Clover 4 Year Old Single Barrel Straight (no. e-010)
"(0.0, 0.75, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",7,7,exact,"W002074,W002290,W002331,W002640,W002983,W002991,W003049",Old Overholt 11 Year Old Straight | Pittyvaich 30 Year Old (diageo Special Releases 2020) | Lucky Seven 12 Year Old The Proprietor Single Barrel Kentucky Straight (barrel No. 7)
"(0.84, 1.08, 3.24, 0.56, 0.88, 2.7, 0.05, 2.46, 2.72)",6,1,p4_bulk_strong_candidate,"W000502,W000502,W000502,W000502,W000502,W000502",Glenmorangie 18yo | Glenmorangie 18yo | Glenmorangie 18yo
"(1.15, 0.85, 2.31, 0.08, 2.54, 1.38, 0.92, 0.02, 1.49, 2.46)",6,1,p4_bulk_strong_candidate,"W000040,W000040,W000040,W000040,W000040,W000040",Laphroaig 25yo | Laphroaig 25yo | Laphroaig 25yo
"(0.25, 0.0, 0.0, 0.0, 0.0, 0.125, 0.0)",6,2,,"W000015,W001161,W001102,W001132,W001142,W001163",Bowmore 12y | Laphroaig Cairdeas 2018 Fino | Laphroaig Cairdeas 2015
"(0.33, 0.33, 1.33, 0.42, 0.23, 1.25, 2.0)",6,1,p4_bulk_strong_candidate,"W000008,W000008,W000008,W000008,W000008,W000008",Aberlour 14y | Aberlour 14y | Aberlour 14y
"(0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W000762,W002111,W002272,W002515,W002592,W002922",Glencadam 15yo | Starward Solera Australian Single Malt | Journeyman Distillery Last Feather Rye
"(0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",6,6,exact,"W001067,W002432,W002718,W002734,W002736,W003207",Glenglassaugh Octaves Peated | Smokehead Rebel Rum Cask Finished | Sonoma Distilling Cherrywood Rye
"(0.0, 0.0, 0.25, 0.25, 0.5, 0.25, 0.0)",6,3,p4_bulk_strong_candidate,"W000221,W000001,W000770,W000678,W000001,W000952",Glenrothes Whisky Maker's Cut | Aberlour A'Bunadh | Ancnoc 12yo
"(0.0, 0.25, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",6,6,exact,"W002059,W002393,W002492,W002624,W002943,W003120",Old Elk Wheated Straight | The Whistler Calvados Cask-finished | Midleton Very Rare Vintage 2025
