vector,count,distinct_distilleries,dominant_match_method,example_ids,example_names
"(1.0, 0.0, 0.0, 0.0, 0.0, 0.083, 0.0)",2,1,,"W001041,W001173","Elements Of Islay ""peat"" | Bruichladdich Port Charlotte Islay Barley Heavily Peated"
"(0.71, 0.84, 2.41, 0.65, 0.53, 1.19, 0.07, 3.35, 2.53)",2,1,tasting_note_extraction,"W000631,W000631",Deanston 12yo | Deanston 12yo
"(6.6, 9.9, 3.3, 0.0, 5.0, 0.0, 3.0)",2,2,tasting_note_extraction,"W000371,W000260",Dalmore Cigar Malt Reserve | Benromach 15yo
"(3.3, 6.6, 9.9, 0.0, 3.3, 0.0, 2.0)",2,2,tasting_note_extraction,"W000755,W000023",Bruichladdich Classic Laddie Scottish Barley | Tamnavulin Double Cask
"(3.3, 9.9, 6.6, 0.0, 1.7, 0.0, 3.0)",2,2,tasting_note_extraction,"W000903,W000529",Tullibardine Sovereign | Balblair 18yo
"(1.25, 0.5, 0.5, 1.5, 1.12, 0.5, 1.88)",2,1,tasting_note_extraction,"W000798,W000798",Glen Scotia 18yo | Glen Scotia 18yo
"(0.0, 3.3, 3.3, 0.0, 5.0, 0.0, 1.0)",2,1,tasting_note_extraction,"W000547,W000735",Old Pulteney 18yo | Arran Malt 14yo
"(0.0, 10.0, 0.0, 0.0, 3.3, 0.0, 3.0)",2,2,tasting_note_extraction,"W000150,W000812",Glendronach Cask Strength (batch 6) | Tomintoul 25yo
"(0.01, 0.49, 0.74, 0.26, 3.05, 1.84, 1.07, 0.88, 0.01, 2.29, 2.11)",2,1,tasting_note_extraction,"W000166,W000166",Bowmore 25yo | Bowmore 25yo
"(1.5, 0.25, 0.62, 0.12, 0.38, 3.0)",2,1,tasting_note_extraction,"W001062,W001062",Bowmore 12yo | Bowmore 12yo
"(3.3, 0.0, 3.3, 0.0, 3.3, 0.0, 0.0)",2,1,tasting_note_extraction,"W000309,W000138",Tomatin Oloroso Sherry 1995 | Scallywag 13yo
"(0.0, 9.9, 3.3, 0.0, 3.3, 0.0, 3.0)",2,0,tasting_note_extraction,"W000324,W000621",Jura 16yo Diurach's Own | Singleton Of Glen Ord 12yo
"(0.0, 6.6, 3.3, 0.0, 5.0, 0.0, 2.0)",2,2,tasting_note_extraction,"W000783,W000659",Glen Scotia 21yo | Glen Garioch Virgin Oak
"(0.17, 1.33, 0.33, 0.83, 0.33, 1.08, 2.33)",2,1,tasting_note_extraction,"W000597,W000597",Auchentoshan 18yo | Auchentoshan 18yo
"(3.3, 6.6, 0.0, 0.0, 3.3, 0.0, 2.0)",2,1,tasting_note_extraction,"W000151,W000580",Glenlivet Nadurra 16yo | Singleton Of Glendullan 18yo
"(0.0, 3.3, 3.3, 0.0, 1.7, 0.0, 1.0)",2,2,tasting_note_extraction,"W000952,W000451",Oban 21yo | Macallan Edition No. 4
"(0.5, 1.5, 1.5, 0.25, 0.12, 0.5)",2,1,tasting_note_extraction,"W000823,W000823",Glen Grant 12yo | Glen Grant 12yo
"(6.6, 0.0, 0.0, 0.0, 1.7, 0.0, 0.0)",2,2,tasting_note_extraction,"W000838,W000877",Highland Park Svein | Glenturret 10yo
"(0.0, 3.3, 0.0, 0.0, 1.7, 0.0, 1.0)",2,2,tasting_note_extraction,"W000448,W000300",Bruichladdich Black Art 5.x 1992 | Glenmorangie A Midwinter Night’s Dram
"(2.0, 2.0, 1.0, 0.12, 0.38, 0.5)",2,1,tasting_note_extraction,"W000475,W000475",Auchentoshan 21yo | Auchentoshan 21yo
"(0.33, 0.08, 0.67, 0.5, 0.08, 0.75, 2.33)",2,1,tasting_note_extraction,"W000573,W000573",Glen Grant 16yo | Glen Grant 16yo
"(0.0, 9.9, 3.3, 0.0, 1.7, 0.0, 3.0)",2,1,tasting_note_extraction,"W000854,W000321",Tomatin Legacy | Singleton Of Glen Ord 18yo
"(3.3, 3.3, 0.0, 0.0, 0.0, 0.0, 1.0)",2,2,tasting_note_extraction,"W000351,W000372",Aberfeldy 16yo | Glenfiddich Reserve Cask
"(3.3, 3.3, 3.3, 0.0, 1.7, 0.0, 1.0)",2,2,tasting_note_extraction,"W000675,W000644",Scapa Skiren | Glenrothes 12yo
"(0.0, 3.3, 3.3, 3.3, 0.0, 0.0, 1.0)",2,2,tasting_note_extraction,"W001119,W000949",Ardbeg Supernova 2015 | Glen Garioch 1991
"(3.3, 6.6, 0.0, 0.0, 5.0, 0.0, 2.0)",2,2,tasting_note_extraction,"W000084,W000721",Timorous Beastie 40yo Cask Strength | Glencadam 30yo
"(0.06, 0.06, 3.75, 0.25, 0.75, 1.62, 0.88, 0.19, 1.0, 3.25)",2,1,tasting_note_extraction,"W000690,W000690",Glen Scotia 25yo | Glen Scotia 25yo
"(6.6, 0.0, 0.0, 0.0, 3.3, 0.0, 0.0)",2,2,tasting_note_extraction,"W000498,W000871",Glenfiddich Cask Of Dreams | Tormore 14yo
"(2.5, 0.5, 3.25, 0.75, 4.38, 3.12, 1.75)",2,1,tasting_note_extraction,"W000899,W000899",Auchentoshan 10yo | Auchentoshan 10yo
"(0.5, 1.5, 1.0, 1.0, 3.0, 1.01, 1.0, 0.15, 1.61, 3.0)",2,1,tasting_note_extraction,"W001068,W001068",Glen Scotia 12yo | Glen Scotia 12yo
"(0.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,manual_curation,"W001271,W000591",Compass Box Delilah's | Balblair 16yo
"(0.0, 0.0, 0.0, 0.75, 0.8, 0.3, 0.0)",2,1,p3_new_traceable_source,"W000173,W000121",Glengoyne Teapot Dram (all Batches) | Glengoyne Cask Strength (batch 7)
"(0.25, 0.25, 0.0, 0.75, 0.5, 0.25, 0.0)",2,2,p4_bulk_strong_candidate,"W001258,W000079",Johnnie Walker Blue Label | Bunnahabhain 18yo
"(0.25, 0.25, 0.25, 0.25, 0.5, 0.0, 0.0)",2,2,p4_bulk_strong_candidate,"W001065,W000781",Fettercairn Fior | Old Pulteney Huddart
"(0.0, 0.25, 0.5, 0.25, 0.25, 0.0, 0.25)",2,2,p4_bulk_strong_candidate,"W000706,W001075",Kilkerran 12yo | Springbank Cv
"(0.0, 0.25, 0.25, 0.25, 0.5, 0.25, 0.0)",2,2,p4_bulk_strong_candidate,"W000821,W000260",Glenglassaugh Octaves Classic | Benromach 15yo
"(0.0, 0.0, 0.5, 0.25, 0.25, 0.5, 0.0)",2,2,p4_bulk_strong_candidate,"W000181,W000029",Glendronach 21yo Parliament | Glenfarclas 40yo
"(0.25, 0.0, 0.0, 0.25, 0.75, 0.25, 0.0)",2,1,p4_bulk_strong_candidate,"W001231,W000614",Black Bull 40yo | Glenfiddich 14yo Bourbon Barrel Reserve
"(0.0, 0.0, 0.5, 0.25, 0.25, 0.0, 0.25)",2,2,p4_bulk_strong_candidate,"W000451,W000616",Macallan Edition No. 4 | Old Pulteney Navigator
"(0.25, 0.25, 0.0, 0.25, 0.75, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W001167,W001238",Wemyss Malts Kiln Embers | Ballantine’S 17yo
"(0.0, 0.0, 0.25, 0.25, 0.25, 0.5, 0.0)",2,2,p4_bulk_strong_candidate,"W000282,W000903",Aberfeldy 18yo | Tullibardine Sovereign
"(0.25, 0.25, 0.0, 0.0, 0.25, 0.25, 0.0)",2,1,p4_bulk_strong_candidate,"W001097,W001097",Ardbeg 21yo | Ardbeg 21yo
"(0.25, 0.0, 0.25, 0.0, 0.5, 0.5, 0.0)",2,1,p4_bulk_strong_candidate,"W000423,W000423",Cragganmore 25yo | Cragganmore 25yo
"(0.0, 0.0, 0.5, 0.75, 0.5, 0.0, 0.25)",2,1,p4_bulk_strong_candidate,"W000004,W000004",Talisker 10y | Talisker 10y
"(0.0, 0.0, 0.5, 0.5, 0.25, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W000039,W000458",Highland Park 30yo | Arran Malt 17yo
"(0.0, 0.0, 0.25, 0.5, 0.0, 0.5, 0.0)",2,2,p4_bulk_strong_candidate,"W000033,W000263",Highland Park 40yo | Glenrothes 18yo
"(0.0, 0.25, 0.25, 0.25, 0.0, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W000514,W000589",Mortlach 18yo | Mortlach Rare Old
"(0.0, 0.25, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,p4_bulk_strong_candidate,"W001169,W000429",Ardbeg An Oa | Compass Box 3yo Deluxe
"(0.0, 0.0, 0.25, 0.0, 0.75, 0.25, 0.0)",2,1,p4_bulk_strong_candidate,"W001307,W000621",Chivas Regal 18yo | Singleton Of Glen Ord 12yo
"(0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0)",2,2,p4_bulk_strong_candidate,"W001119,W000004",Ardbeg Supernova 2015 | Talisker 10y
"(0.0, 0.0, 0.0, 0.5, 0.75, 0.25, 0.0)",2,1,p4_bulk_strong_candidate,"W000790,W001300",Sheep Dip Blended Malt | Compass Box Asyla
"(0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.25)",2,2,p4_bulk_strong_candidate,"W000214,W000434",Highland Park 15yo | Bruichladdich The Organic 2010
"(0.0, 0.0, 0.0, 0.75, 0.75, 0.5, 0.0)",2,2,p4_bulk_strong_candidate,"W001236,W000843",Compass Box Juveniles | Balblair 12yo
"(0.25, 0.0, 0.0, 0.25, 0.5, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W001250,W000633",Black Bull 12yo | Edradour 10yo
"(0.0, 0.0, 0.5, 0.25, 0.0, 0.0, 0.25)",2,2,p4_bulk_strong_candidate,"W000330,W000210",Glenmorangie Milsean | Highland Park Valknut
"(0.0, 0.0, 0.25, 0.0, 0.5, 0.5, 0.0)",2,2,p4_bulk_strong_candidate,"W000274,W000815",Dalmore Port Wood Reserve | Auchentoshan Valinch
"(0.0, 0.0, 0.25, 0.0, 0.5, 0.25, 0.0)",2,2,p4_bulk_strong_candidate,"W000395,W000854",Bladnoch Samsara | Tomatin Legacy
"(0.25, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0)",2,2,p4_bulk_strong_candidate,"W000199,W000032",Glenfarclas 105 | Highland Park 25yo
"(0.0, 0.0, 0.25, 0.5, 0.25, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W000312,W000584",Glenlivet Nadurra Oloroso | Singleton Of Glen Ord 15yo
"(0.0, 0.0, 0.25, 0.0, 0.25, 0.25, 0.0)",2,1,p4_bulk_strong_candidate,"W000909,W000909",Caol Ila 35yo | Caol Ila 35yo
"(0.25, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,1,p4_bulk_strong_candidate,"W001100,W001100",Lagavulin 16yo | Lagavulin 16yo
"(0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0)",2,2,p4_review_calibrated_candidate,"W000025,W000783",Gladstone Axe American Oak | Glen Scotia 21yo
"(0.0, 0.0, 0.25, 0.25, 0.0, 0.0, 0.0)",2,2,p4_review_calibrated_candidate,"W000126,W000448",Compass Box This Is Not A Luxury Whisky | Bruichladdich Black Art 5.x 1992
"(0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,p4_review_calibrated_candidate,"W000427,W000874",Aultmore 25yo | Speyburn 10yo
"(0.0, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0)",2,2,p4_review_calibrated_candidate,"W000296,W000753",Ben Nevis 10yo Cask Strength | Tullibardine 20yo
"(0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0)",2,2,p4_review_calibrated_candidate,"W000810,W000868",Wemyss Malts The Hive | Cardhu Amber Rock
"(1.0, 2.0, 3.0)",2,2,universal_book_nlp_extraction,"W001843,W001966",Ardmore 19yo | Potter 33yo
"(1.0, 2.0, 2.0)",2,2,universal_book_nlp_extraction,"W001844,W001858",Ardmore 20yo | Bushmills 10yo
"(1.0, 2.0, 1.0, 1.0)",2,2,universal_book_nlp_extraction,"W001851,W001948",Bernheim NAS | Midleton 21yo
"(1.0, 1.0, 1.0)",2,2,universal_book_nlp_extraction,"W001854,W001864",Bernheim 13yo | Bushmills 18yo
"(2.0, 1.0, 2.0)",2,2,universal_book_nlp_extraction,"W001855,W001958",Bernheim 16yo | Penderyn 10yo
"(1.0, 1.0, 2.0)",2,2,universal_book_nlp_extraction,"W001868,W001912",Bushmills 25yo | Jim Beam 25yo (50.0%)
"(1.0, 2.0)",2,2,universal_book_nlp_extraction,"W001906,W001967",Jim Beam NAS | Sullivans Cove 14yo
"(0.0, 0.5, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W001994,W003182",Wild Turkey Rare Breed Barrel- Proof Kentucky Straight | Kentucky Owl The Wiseman Kentucky Straight Bourbon
"(0.5, 0.75, 1.0, 0.75, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W001996,W003282",M&H Classic Single Malt | Royal Salute 62 Gun Salute The Peated Reserve
"(0.0, 0.5, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W001997,W003157",Old Overholt Bottled In Bond (2020 Edition) | El Tesoro Añejo
"(0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002006,W002963",Tomintoul 14 Year Old | Ampersand Opimus 15 Year Old T Okaji Wine Cask Finished
"(0.0, 0.75, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002022,W003132",Balblair 18 Year Old | Teeling 15 Year Old Px Sherry Single Cask (no. 29594)
"(0.0, 0.5, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002028,W003095",Scotchdale 8 Year Old | Dewar’s Double Double 21 Year Old Stone Toasted French Oak Cask With Magma
"(0.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002038,W002198",Old Dominick Huling Station Very Small Batch | Remus Repeal Reserve Series Vii
"(0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002060,W002585","Booker’s 2020-02 ""boston Batch"" Kentucky Straight | Tidewalker Bourbon"
"(0.25, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002062,W003198",Hirsch The Horizon Straight (batch ahh0320) | Barrell Cask Finish Series: Ice Wine (batch 001)
"(0.25, 0.5, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002063,W000543",Daviess County Kentucky Straight | Paul John Classic Select Cask
"(0.0, 0.0, 0.25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002075,W002443",Basil Hayden’s 10 Year Old Kentucky Straight | Ardnamurchan Mezcal Cask Finished
"(0.0, 0.5, 0.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002076,W003101",Chicken Cock Kentucky Straight | Dewar’s 19 Year Old The Champions Edition
"(0.0, 1.0, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002077,W002627",George Dickel 11 Year Old Bottled In Bond (distilled In Fall 2008) | Hardin’s Creek Colonel James B. Beam 2 Year Old
"(0.0, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002092,W002494",J.J. Corry The Vatting No. 2 | Rampur Asava
"(0.0, 1.0, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002096,W003154",Akashi 5 Year Old Sherry Cask | Indri Founder’s Reserve 11 Year Old
"(0.25, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.5, 0.0)",2,2,exact,"W002105,W002392",M&H Elements Sherry Cask Single Malt | The Whistler Oloroso Sherry Cask-finished
"(0.25, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0)",2,2,exact,"W002119,W002234",Michter’s US*1 Barrel Strength Toasted Barrel Finish (barrel No. 23g2641) | Amrut Rye (2nd Release)
"(0.0, 0.25, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002136,W002980",Glenkinchie 27 Year Old The Floral Treasure (diageo Special Releases 2023) | Jack Daniel’s Distillery Series Barrel Proof T Able Syrup Barrel Finished (winter 2025 Selection No. 16)
"(0.25, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002146,W002813",Ardbeg Anthology: The Harpy's Tale 13 Year Old | Tamnavulin White Wine Cask Edition Sauvignon Blanc Cask Aged
"(0.25, 1.0, 0.5, 1.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002148,W002237",Claxton’s Tomintoul 8 Year Old Tawny Port Cask | Mars Komagatake 2023 Edition
"(0.0, 0.25, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002158,W002177",Claxton’s Royal Brackla 12 Year Old Tawny Port Cask | Barrell Foundation 5 Year Old Blend Of Straights
"(0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002174,W002622",Charles Goodnight 6 Year Old Small Batch | Ben Holladay 6 Year Old Bottled In Bond
"(0.0, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002180,W002197",Four Gate 7 Year Old Majestic Wood Series Brazilian Amburana Oak | Mayor Pingree 5 Year Old Bosco Batch (2023 Release)
"(0.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002186,W002974",Yellowstone Limited Edition Tokaji Cask Finished (2023 Release) | Castle & Key Small Batch 6 Year Old
"(0.25, 0.25, 0.75, 0.5, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002188,W002839",Jimmy Red Bottled In Bond | Old Fitzgerald 11 Year Old Bottled In Bond (fall 2024 Release)
"(0.0, 0.75, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002191,W002404",Redwood Empire Grizzly Beast 5 Year Old Bottled In Bond (batch 003) | Ohishi Port Cask-Finished (2020 Release)
"(0.25, 0.25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002194,W002978",Hardin’s Creek 17 Year Old Kentucky Series Boston | Widow Jane Decadence Maple Syrup Barrel Finished Blend Of Straights
"(0.0, 0.5, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002196,W003244",Kentucky Owl Maighstir Edition | True Story Vol. 2 Amburana And Sherry Cask Finished
"(0.0, 0.25, 1.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002204,W002841",Parker’s Heritage 10 Year Old Cask Strength (2023 Release) | Russell’s Reserve Single Rickhouse Collection Camp Nelson B (2024 Release)
"(0.0, 0.75, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002208,W002977",Eight Settlers Devil’s Gate Small Batch (batch 19) | Remus Gatsby Reserve 15 Year Old Cask Strength (2025 Edition)
"(0.5, 0.5, 0.5, 1.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002212,W003119",Sentinel Finished In Whiskey Del Bac Mesquite Casks (batch 02) | Hard Truth Barrel Finish Reserve Double Oaked New Charred Oak Barrel Finished
"(0.0, 1.0, 0.25, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002213,W002693",Waterford Cuvée Kofﬁ Edition | Gold Spot 9 Year Old
"(0.0, 0.75, 0.5, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",2,2,exact,"W002223,W003253",Eifel Whisky 10 Year Old Single Malt | Proof And Wood 22 Year Old Curated Collection Blame Canada! (barrel No. 3)
"(0.0, 1.0, 0.75, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002228,W002268",Amrut Triparva (2nd Release) | Gordon & Macphail Private Collection 74 Year Old 1949 From Glenlivet Distillery
"(0.0, 0.25, 1.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002231,W002362",Four Walls Irish American | Wood’s Dawn Patrol Colorado (batch 1)
"(0.0, 0.75, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002256,W003137",Prima & Ultima Singleton Of Dufftown 1985 37 Year Old | Bushmills 12 Year Old Px Sherry Cask Reserve
"(0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002259,W002610",Yamazaki 18 Year Old Mizunara 100th Anniversary Limited Edition | Glasgow 1770 Triple Distilled
"(0.25, 0.5, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002260,W002924",Hakushu 18 Year Old Peated Malt 100th Anniversary Limited Edition | Isle Of Skye 8 Year Old
"(0.0, 0.5, 0.5, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002266,W003054",The Last Drop Signature Edition 32 Year Old By Louise Mcguane | Aberlour Suthainn Double Sherry Cask Solera
"(0.5, 0.75, 1.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0)",2,2,exact,"W002267,W003062",Duncan Taylor Octave Premium 17 Year Old Laphroaig 2004 | Kilchoman 13 Year Old
"(0.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002274,W002872",M&H Elements Sherry Cask | Jacob’s Pardon 18 Year Old Recipe No. 3 Small Batch American
"(0.0, 0.375, 0.125, 0.375, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002276,W002531",Koval Single Barrel (no. zt3w42) | Mortlach Midnight Malt 30 Year Old
"(0.25, 1.0, 0.25, 0.75, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0)",2,2,exact,"W002279,W003281",Bushmills 28 Year Old The Rare Casks Cognac Cask (release No. 1) | Royal Salute 62 Gun Salute The Original Reserve
"(0.0, 0.5, 0.25, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0)",2,2,exact,"W002293,W002550",Benriach The Original 12 | Glen Moray 15 Year Old
"(0.0, 0.25, 0.5, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002305,W002496",Dalmore 12 Year Old Sherry Cask Select | Gordon & Macphail Mr George Legacy Series 1954 From Glen Grant
"(0.0, 1.0, 0.75, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002316,W002852",William Larue Weller Kentucky Straight (buffalo Trace Antique Collection 2020) | New York Distilling Co. Jaywalk Bonded
"(0.25, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002327,W002487",Elijah Craig Barrel Proof Kentucky Straight (batch c920) | Wolves 5 Year Old
"(0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002334,W003113",Maker’s Mark 2020 Limited Release Stave Proﬁle se4 X pr5 Kentucky Straight | Penelope Cooper Series: Havana Maple Syrup & Rum Barrel Double Cask Finished
"(0.0, 0.75, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2,2,exact,"W002356,W003112",Kirkland Signature Sour Mash | Three Chord Backstage Series: Allman Brothers Band Toasted Peach Wood Finished Blend Of Straights
"(0.5, 0.75, 0.5, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002357,W003197",Balcones Rum Cask-Finished Texas (batch r20-1) | Speyburn Bourbon Cask
"(0.5, 1.0, 0.5, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002358,W002892",Dogﬁsh Head Let’s Get Lost | House Of Hazelwood The Charles Gordon Collection 58 Year Old The Last Trace
"(0.25, 0.75, 0.5, 0.75, 0.0, 0.0, 0.0, 0.25, 0.25, 0.0, 0.0)",2,2,exact,"W002371,W002384",Teeling Blackpitts (batch 1) | The Akkeshi Sarorunkamuy
"(0.5, 1.0, 1.0, 0.75, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002381,W002680",Miyagikyo Apple Brandy Barrel-finished | Talnua Bourbon Cask & Stave
"(0.0, 0.5, 0.75, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002389,W003072",Mars Komagatake Limited Edition (2020 Release) | Glengoyne Oak Masters’ 24 Year Old White Oak
"(0.0, 1.0, 0.25, 0.75, 0.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0)",2,2,exact,"W002400,W003047",Ohishi 8 Year Old Sherry Cask- Finished (2020 Release) | Lux Row PX Sherry Cask Finished
"(0.0, 1.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25)",2,2,exact,"W002408,W002934",Ohishi 11 Year Old Mizunara Cask-finished | Godawan 02 Fruit And Spice
"(0.25, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002409,W002954",FEW | Still Austin 6 Year Old Bottled In Bond Blue Corn (winter 2025)
"(0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0)",2,2,exact,"W002410,W002471",Ardnahoe 5 Year Old Inaugural Release | Middle West Spirits Dark Pumpernickel Cask Strength (batch 001)
"(0.25, 0.0, 0.25, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W001109,W002857",Ardbeg Corryvreckan | Sazerac 18 Year Old (buffalo Trace Antique Collection 2024)
"(0.25, 0.5, 0.75, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0)",2,2,exact,"W002418,W003009",Port Ellen Gemini 44 Year Old Remnant Cask Finish | T Equila Ocho Limited Edition Barrel Select Old Fitzgerald Bourbon Barrel Aged Añejo
"(0.5, 1.0, 1.0, 0.5, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0)",2,2,exact,"W002421,W002677",Jefferson’s Reserve Limited Edition Cask Strength | Balcones ZZ Top Tres Hombres
"(0.5, 0.75, 0.25, 0.5, 0.0, 0.0, 0.0, 0.5, 0.25, 0.0, 0.0)",2,2,exact,"W002429,W003242",Port Charlotte 18 Year Old (2025 Release) | Elijah Craig Toasted Rye Toasted New Oak Barrel Finished
"(0.25, 0.25, 0.25, 0.0, 0.0, 0.0, 0.0, 0.25, 0.25, 0.25, 0.0)",2,2,exact,"W002431,W002529",Smokehead | Benriach The Thirty
