whisky_id,name,class,enrichment_version,source_count,evidence_count,superseded_by
W001232,Compass Box Hedonism Quindecimus,all_zero,1,1,1,
W001252,Compass Box The Circle,real_vector,1,1,1,
W001268,Grant's 12yo,real_vector,1,1,1,
W001289,The Irishman Founder’s Reserve,real_vector,1,1,1,
W001291,Compass Box Affinity,real_vector,1,1,1,
W001295,Glendalough Double Barrel,real_vector,1,1,1,
W001304,Lohin Mckinnon Barley And Rye Lightly Peated,real_vector,1,1,1,
W001308,Bain's Cape Mountain Whisky,real_vector,1,1,1,
W001313,Chivas Regal Mizunara,real_vector,1,1,1,
W001336,Hankey Bannister Original,all_zero,1,1,1,
W001357,White Oak Akashi Blended,real_vector,1,1,1,
W001361,Passport Blended Scotch,real_vector,1,1,1,
W001367,Mister Sam Tribute Whisky,all_zero,1,1,1,
W001411,Forty Creek Unity,real_vector,1,1,1,
W001421,Pikesville Straight Rye,real_vector,1,1,1,
W001425,Amrut Rye,real_vector,1,1,1,
W001451,Few Rye Whisky,all_zero,1,1,1,
W001455,Forty Creek Double Barrel Reserve,real_vector,1,1,1,
W001455,Forty Creek Double Barrel Reserve,real_vector,1,1,1,
W001471,Forty Creek Victory,real_vector,1,1,1,
W001472,Michter's Single Barrel Straight Rye,real_vector,1,1,1,
W001480,Gooderham & Worts Four Grain,real_vector,1,1,1,
W001480,Gooderham & Worts Four Grain,real_vector,1,1,1,
W001495,Crown Royal Xo,sentinel_10,1,1,1,
W001495,Crown Royal Xo,sentinel_10,1,1,1,
W001500,J.p. Wiser’S Triple Barrel Rye,real_vector,1,1,1,
W001506,Caribou Crossing Single Barrel,real_vector,1,1,1,
W001506,Caribou Crossing Single Barrel,real_vector,1,1,1,
W001506,Caribou Crossing Single Barrel,real_vector,1,1,1,
W001508,George Dickel Rye,all_zero,1,1,1,
W001511,Prichard'S Rye,all_zero,1,1,1,
W001515,Crown Royal Reserve,real_vector,1,1,1,
W001535,Canadian Club 100% Rye,sentinel_10,1,1,1,
W001535,Canadian Club 100% Rye,sentinel_10,1,1,1,
W001535,Canadian Club 100% Rye,sentinel_10,1,1,1,
W001539,Crown Royal Black,real_vector,1,1,1,
W001539,Crown Royal Black,real_vector,1,1,1,
W001541,Wayne Gretzky No. 99 Ice Cask,real_vector,1,1,1,
W001541,Wayne Gretzky No. 99 Ice Cask,real_vector,1,1,1,
W001561,Alberta Premium,real_vector,1,1,1,
W001561,Alberta Premium,real_vector,1,1,1,
W001561,Alberta Premium,real_vector,1,1,1,
W001561,Alberta Premium,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001562,Royal Canadian Small Batch,real_vector,1,1,1,
W001570,Jim Beam Rye,sentinel_10,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001571,Collingwood,real_vector,1,1,1,
W001576,Wayne Gretzky No. 99 Red Cask,real_vector,1,1,1,
W001576,Wayne Gretzky No. 99 Red Cask,real_vector,1,1,1,
W001579,Canadian Club Barley Batch,real_vector,1,1,1,
W001584,Old Overholt,real_vector,1,1,1,
